Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
1,LR-SC,LRSC0001,2007,LRSC04,late_maturity,25.1 ,30.8 ,21.3 ,2436.1 ,1466.1 ,406.6 ,521.1 ,1390.1 ,Paddy soil,sandy loam,41.6 ,64.9 ,52.0 ,7.0 ,150 ,60 ,60 ,4458 ,6540 ,,
2,LR-SC,LRSC0002,2008,LRSC04,late_maturity,26.3 ,31.8 ,22.7 ,2258.9 ,1398.9 ,157.8 ,476.5 ,1270.4 ,Paddy soil,sandy loam,41.6 ,4.9 ,52.0 ,7.0 ,150 ,60 ,120 ,4458 ,6362 ,,
3,LR-SC,LRSC0003,2006,LRSC01,late_maturity,23.3 ,28.6 ,19.5 ,2534.9 ,1444.9 ,304.5 ,475.9 ,1320.1 ,Paddy soil,clay loam,22.5 ,12.8 ,72.0 ,5.4 ,225 ,90 ,180 ,5805 ,8901 ,,
4,LR-SC,LRSC0004,2005,LRSC01,late_maturity,23.0 ,27.3 ,19.8 ,2485.7 ,1405.7 ,334.9 ,493.7 ,1336.3 ,Paddy soil,loam,25.0 ,15.0 ,125.0 ,5.2 ,180 ,45 ,75 ,4958 ,7347 ,,
5,LR-SC,LRSC0005,2005,LRSC01,late_maturity,23.7 ,28.0 ,20.5 ,2298.2 ,1328.2 ,315.0 ,469.3 ,1267.1 ,Paddy soil,sandy loam,20.3 ,8.0 ,55.0 ,4.8 ,180 ,45 ,75 ,5400 ,7430 ,,
6,LR-SC,LRSC0006,2005,LRSC01,late_maturity,23.8 ,28.0 ,20.6 ,2211.2 ,1281.2 ,314.7 ,439.3 ,1201.7 ,Paddy soil,sandy loam,20.7 ,7.5 ,58.0 ,7.8 ,180 ,45 ,75 ,5435 ,7346 ,,
7,LR-SC,LRSC0007,2005,LRSC01,late_maturity,24.1 ,28.4 ,21.0 ,2486.6 ,1456.6 ,363.4 ,498.2 ,1363.3 ,Paddy soil,sandy loam,26.9 ,9.0 ,64.0 ,6.0 ,180 ,45 ,75 ,5610 ,7529 ,,
8,LR-SC,LRSC0008,2005,LRSC01,late_maturity,24.1 ,28.3 ,20.9 ,2285.4 ,1335.4 ,316.0 ,456.4 ,1246.3 ,Paddy soil,sandy loam,27.2 ,15.3 ,62.0 ,6.2 ,180 ,45 ,75 ,5544 ,7463 ,,
9,LR-SC,LRSC0009,2008,LRSC01,late_maturity,23.6 ,28.9 ,20.1 ,2339.5 ,1349.5 ,390.1 ,459.7 ,1274.1 ,Paddy soil,silty clay loam,34.6 ,7.1 ,60.0 ,5.3 ,150 ,75 ,135 ,3402 ,6540 ,,
10,LR-SC,LRSC0010,2008,LRSC02,late_maturity,25.6 ,29.4 ,22.9 ,2815.1 ,1715.1 ,661.1 ,599.2 ,1569.5 ,Paddy soil,clay loam,20.6 ,3.1 ,60.0 ,5.2 ,150 ,60 ,90 ,5945 ,6588 ,,
11,LR-SC,LRSC0011,2008,LRSC02,late_maturity,25.7 ,29.5 ,23.1 ,2827.4 ,1727.4 ,661.1 ,598.0 ,1573.3 ,Paddy soil,clay loam,29.7 ,12.2 ,57.0 ,5.4 ,150 ,60 ,90 ,5385 ,6011 ,,
12,LR-SC,LRSC0012,2008,LRSC02,late_maturity,25.6 ,29.5 ,23.0 ,2844.5 ,1734.5 ,661.1 ,606.0 ,1587.8 ,Paddy soil,sandy loam,26.5 ,21.6 ,25.0 ,4.6 ,150 ,60 ,90 ,6170 ,6614 ,,
13,LR-SC,LRSC0013,2008,LRSC02,late_maturity,25.5 ,29.3 ,22.9 ,2833.7 ,1723.7 ,661.1 ,602.3 ,1577.8 ,Paddy soil,silty clay loam,38.1 ,30.7 ,31.0 ,5.2 ,150 ,60 ,90 ,6479 ,6618 ,,
14,LR-SC,LRSC0014,2008,LRSC02,late_maturity,25.6 ,29.5 ,23.0 ,2844.5 ,1734.5 ,661.1 ,606.0 ,1587.8 ,Paddy soil,clay loam,40.0 ,22.8 ,28.0 ,5.2 ,150 ,60 ,90 ,6219 ,6788 ,,
15,LR-SC,LRSC0015,2007,LRSC02,late_maturity,25.7 ,31.0 ,21.8 ,2568.3 ,1568.3 ,362.0 ,457.5 ,1307.4 ,Paddy soil,silty clay loam,26.8 ,28.0 ,42.0 ,5.9 ,150 ,60 ,105 ,5880 ,6990 ,,
16,LR-SC,LRSC0016,2007,LRSC02,late_maturity,25.9 ,31.3 ,22.0 ,2721.8 ,1671.8 ,381.3 ,501.5 ,1415.3 ,Paddy soil,silty clay loam,30.7 ,30.9 ,42.0 ,5.3 ,150 ,60 ,105 ,4245 ,5235 ,,
