Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,high,early rice,2009,25.9,30.3,22.5,2121.2,1301.2,572.7,447.4,1326.6,early_maturity,Paddy soils,,34.6,61.2,36,5.7,180,60,135,6008
2,low,early rice,2008,25.9,30.3,22.5,2121.2,1301.2,572.7,447.4,1326.6,medium_maturity,Paddy soils,,24.7,15.3,47,4.9,135,60,135,5543
3,low,early rice,2008,25.9,30.3,22.5,2121.2,1301.2,572.7,447.4,1326.6,medium_maturity,Paddy soils,,26,11.8,72,5.3,180,54,135,7889
4,high,early rice,2008,25,29.9,21.6,1927.3,1157.3,586.7,330.3,1098.5,medium_maturity,Paddy soils,,36.4,17.5,59,4.9,150,57,117,6105
5,high,early rice,2007,25,29.9,21.6,1927.3,1157.3,586.7,330.3,1098.5,early_maturity,Paddy soils,,41.4,24.2,100,5.1,150,60,120,5925
6,high,early rice,2009,24.9,30.3,21.1,1993.6,1193.6,405.7,420.2,1267.7,medium_maturity,Paddy soils,,38,25.4,68,5.3,150,60,120,6444
7,low,early rice,2006,26,30,22.8,1742.3,1072.3,580.6,354.7,1068.2,late_maturity,Paddy soils,,29.3,9.6,38,4.8,138,54,120,6210
8,low,early rice,2008,26.1,30.8,22.6,1958.2,1208.2,648.8,420.9,1233,medium_maturity,Paddy soils,,31.9,4.3,71,4.9,135,45,102,7425
9,low,early rice,2009,25.2,29.7,21.5,2065.4,1245.4,531.5,479.5,1378,medium_maturity,Paddy soils,,22.2,9.4,79,4.8,128,38,105,6908
10,high,early rice,2006,26,30,22.8,1742.3,1072.3,580.6,354.7,1068.2,medium_maturity,Paddy soils,,34.2,21.7,33,5,138,60,120,5850
11,high,early rice,2007,24.9,29,21.8,1893.5,1133.5,533.4,416.9,1232.6,late_maturity,Paddy soils,,42.5,26.1,261,5,138,90,135,6270
12,low,early rice,2006,26,30,22.8,1742.3,1072.3,580.6,354.7,1068.2,late_maturity,Paddy soils,,19.3,9.5,35,4.6,138,45,123,5250
13,low,early rice,2008,26.1,30.8,22.6,1958.2,1208.2,648.8,420.9,1233,late_maturity,Paddy soils,,32,7.1,81,4.7,120,45,96,6668
