Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,ER-SC,ERSC0001,2007,late_maturity,25.4 ,28.5 ,23.2 ,2535.4 ,1535.4 ,437.1 ,598.4 ,1702.16,Paddy soils,,21.1 ,10.1 ,159.0 ,6.9 ,150 ,30 ,105 ,7423 
2,ER-SC,ERSC0002,2007,late_maturity,24.9 ,29.5 ,21.5 ,2611.7 ,1561.7 ,988.7 ,327.1 ,1275.34,Paddy soils,,18.3 ,29.1 ,41.5 ,5.7 ,150 ,45 ,120 ,5385 
3,ER-SC,ERSC0003,2008,late_maturity,23.5 ,28.3 ,19.8 ,2352.8 ,1352.8 ,336.0 ,499.3 ,1527.92,Paddy soils,,35.0 ,34.0 ,200.0 ,5.6 ,113 ,45 ,120 ,7950 
4,ER-SC,ERSC0004,2005,medium_maturity,25.8 ,30.8 ,21.7 ,1908.8 ,1168.8 ,272.3 ,489.9 ,1336.34,Paddy soils,,24.0 ,11.0 ,88.0 ,7.8 ,180 ,45 ,60 ,6328 
5,ER-SC,ERSC0005,2008,medium_maturity,26.4 ,31.0 ,22.9 ,1873.6 ,1163.6 ,269.9 ,353.4 ,1093.49,Paddy soils,,26.0 ,3.6 ,67.0 ,5.3 ,165 ,60 ,105 ,6686 
6,ER-SC,ERSC0006,2009,medium_maturity,26.8 ,32.2 ,22.7 ,1927.7 ,1207.7 ,494.1 ,426.9 ,1220.6,Paddy soils,,24.2 ,9.3 ,83.0 ,5.8 ,180 ,60 ,90 ,7704 
7,ER-SC,ERSC0007,2005,medium_maturity,26.9 ,31.8 ,23.0 ,1967.2 ,1237.2 ,322.0 ,471.6 ,1299.97,Paddy soils,,20.7 ,7.5 ,58.0 ,7.8 ,180 ,45 ,60 ,5750 
8,ER-SC,ERSC0008,2008,medium_maturity,26.0 ,30.8 ,22.3 ,1974.6 ,1214.6 ,277.6 ,394.2 ,1195.98,Paddy soils,,39.5 ,4.9 ,75.0 ,5.8 ,180 ,45 ,75 ,7524 
9,ER-SC,ERSC0009,2008,medium_maturity,26.0 ,30.8 ,22.4 ,2005.6 ,1235.6 ,277.6 ,405.7 ,1221.61,Paddy soils,,39.8 ,8.0 ,72.0 ,6.4 ,180 ,45 ,75 ,6989 
10,ER-SC,ERSC0010,2008,late_maturity,25.7 ,31.7 ,21.5 ,2342.5 ,1432.5 ,520.7 ,494.1 ,1468.92,Paddy soils,,28.9 ,17.0 ,87.0 ,5.5 ,150 ,60 ,90 ,3855 
11,ER-SC,ERSC0011,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,35.4 ,75.5 ,54.0 ,5.2 ,150 ,60 ,90 ,7110 
12,ER-SC,ERSC0012,2007,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,35.8 ,10.5 ,57.0 ,5.2 ,150 ,60 ,90 ,5415 
13,ER-SC,ERSC0013,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,36.4 ,8.2 ,85.0 ,5.2 ,150 ,60 ,90 ,4890 
14,ER-SC,ERSC0014,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,33.0 ,24.3 ,104.0 ,5.1 ,150 ,60 ,90 ,6795 
15,ER-SC,ERSC0015,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,37.6 ,8.2 ,36.0 ,5.4 ,150 ,60 ,90 ,7095 
16,ER-SC,ERSC0016,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,42.6 ,34.1 ,77.0 ,5.3 ,150 ,60 ,90 ,5550 
