Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,SR-YZB,SRYZB0001,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay loam,20.6,16,105,5.8,180,72,150,8028
2,SR-YZB,SRYZB0002,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,loam,18,5.1,83,6.1,180,72,150,8130
3,SR-YZB,SRYZB0003,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,loam,12.5,19.2,119,6.1,180,72,150,7725
4,SR-YZB,SRYZB0004,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay loam,15.2,10.4,110,5,180,72,150,7915
5,SR-YZB,SRYZB0005,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay loam,28,21.5,146,4.9,180,72,150,7909
6,SR-YZB,SRYZB0006,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay,19.6,22.5,182,5.2,180,72,150,7209
7,SR-YZB,SRYZB0007,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay loam,24.4,9,130,5.4,180,72,150,8495
8,SR-YZB,SRYZB0008,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,sandy loam,15.8,8.5,195,7.3,180,72,150,6680
9,SR-YZB,SRYZB0009,2007,medium_maturity,24.5,28.8,21.3,3630.6,2150.6,722.3,824.5,2197.3,Paddy soils,clay,17.2,16.2,88,6,180,72,150,8046
10,SR-YZB,SRYZB0010,2008,medium_maturity,26.1,31.8,22.2,3337.7,2057.7,928.4,714.2,2013.1,Paddy soils,sandy loam,34.3,6.3,54,5.3,150,45,67,9471
11,SR-YZB,SRYZB0011,2007,medium_maturity,26.2,31,22.7,2830.5,1750.5,875.5,476.9,1544.5,Paddy soils,clay loam,21.4,4.1,49.7,6.9,150,90,90,8280
12,SR-YZB,SRYZB0012,2009,medium_maturity,26.6,30.9,23.3,3034.3,1894.3,557.4,616.6,1772.6,Paddy soils,clay,22.2,13.3,178,6.7,180,83,98,8852
13,SR-YZB,SRYZB0013,2008,medium_maturity,26.2,30.5,23,2990.8,1850.8,376.5,692,1880.7,Paddy soils,clay,28.5,32.2,146,6.6,165,68,98,9387
14,SR-YZB,SRYZB0014,2008,medium_maturity,26.2,30.5,23,2990.8,1850.8,376.5,692,1880.7,Paddy soils,clay,22.5,8.4,240,6.6,180,75,90,8465
15,SR-YZB,SRYZB0015,2006,medium_maturity,26.9,31.3,23.4,3064.7,1924.7,669.5,800.1,2059.2,Paddy soils,clay,20.3,24,46,6.7,188,90,105,7805
16,SR-YZB,SRYZB0016,2008,medium_maturity,26.2,30.5,23,2990.8,1850.8,376.5,692,1880.7,Paddy soils,clay,19.7,21,68,6.6,180,75,105,7877
17,SR-YZB,SRYZB0017,2009,medium_maturity,26.6,30.9,23.3,3034.3,1894.3,557.4,616.6,1772.6,Paddy soils,clay,23.5,23.5,45,6.6,188,90,105,7765
18,SR-YZB,SRYZB0018,2006,medium_maturity,26.9,31.3,23.4,2985.3,1875.3,668.8,766.3,1971.3,Paddy soils,clay,21.4,12.8,84,6.6,180,83,98,8765
19,SR-YZB,SRYZB0019,2007,medium_maturity,26.5,30.8,23.2,3018,1878,931.9,691.1,1881.5,Paddy soils,clay,22.5,18.2,105,6.6,180,75,90,8381
20,SR-YZB,SRYZB0020,2007,medium_maturity,26.5,30.8,23.2,3018,1878,931.9,691.1,1881.5,Paddy soils,clay,21.5,18.2,105,6.6,180,75,90,8351
21,SR-YZB,SRYZB0021,2008,medium_maturity,25.9,29.9,22.8,2949.9,1809.9,710.3,475.9,1533.5,Paddy soils,sandy loam,34,4.7,26,5.1,300,150,375,9015
