Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,W-NCP,WNCP0001,2006,9.5,15.7,4.5,2398.6,861.8,152,1656.3,3251.5,small_spike,Fluvo-aquic soils,loamy sand,19.8,42.2,116,8,270,135,113,7743
2,W-NCP,WNCP0002,2006,9.5,15.7,4.5,2398.6,861.8,152,1656.3,3251.5,small_spike,Fluvo-aquic soils,loam,9.9,13.2,36,8.1,270,135,113,7242
3,W-NCP,WNCP0003,2006,9.4,15.6,4.4,2369.2,842.4,152,1653.3,3234,small_spike,Fluvo-aquic soils,sand,16.5,15.9,145,8.2,225,120,90,6623
4,W-NCP,WNCP0004,2008,9.1,15.5,3.8,2284.7,767.7,138.6,1707,3248.4,small_spike,Fluvo-aquic soils,loam,13.6,18.5,118,7.5,225,150,150,8546
5,W-NCP,WNCP0005,2008,9.1,15.5,3.9,2274.5,767.5,139.8,1692.4,3230.9,small_spike,Fluvo-aquic soils,loam,12.5,23.6,134,7.5,180,150,120,7134
6,W-NCP,WNCP0006,2008,9.1,15.4,3.8,2246.2,749.2,138.6,1686.7,3207.9,small_spike,Cinnamon soils,loamy sand,14.4,20.3,155,7.5,225,150,150,9045
7,W-NCP,WNCP0007,2008,9.2,15.5,3.9,2298.9,781.9,139.8,1701.2,3252.3,small_spike,Cinnamon soils,loam,15.6,30.2,145,7.5,225,150,150,7743
8,W-NCP,WNCP0008,2008,9.1,15.4,3.8,2256.4,759.4,139.8,1682.3,3214.2,small_spike,Cinnamon soils,loamy sand,11.2,20.6,125,7.5,180,150,120,6623
9,W-NCP,WNCP0009,2008,9.1,15.4,3.8,2246.2,749.2,138.6,1686.7,3207.9,small_spike,Fluvo-aquic soils,loam,14.8,26.8,138,7.5,225,150,150,8100
10,W-NCP,WNCP0010,2008,9,15.3,3.7,2210.2,733.2,138.6,1667.1,3175.2,medium_spike,Fluvo-aquic soils,loam,8.5,12.4,89,7.5,180,150,120,7242
11,W-NCP,WNCP0011,2008,9.1,15.5,3.9,2274.5,767.5,139.8,1692.4,3230.9,small_spike,Fluvo-aquic soils,loam,12.5,23.6,134,7.5,180,150,120,7200
12,W-NCP,WNCP0012,2007,9.7,14.8,5.4,2513.5,915.5,162.4,1537.8,3109.5,small_spike,Cinnamon soils,loam,16.4,10.8,97,7.8,240,75,90,6135
13,W-NCP,WNCP0013,2008,9.7,15.4,4.7,2382.6,860.6,77,1620.8,3048.3,small_spike,Cinnamon soils,clay,21.5,18.3,122,7.9,210,75,75,6251
14,W-NCP,WNCP0014,2008,10,15.6,5,2519.3,927.3,99.7,1664.6,3152.5,small_spike,Cinnamon soils,loam,21.5,6.3,117,7.7,210,75,75,7001
15,W-NCP,WNCP0015,2009,7.8,12.8,3.5,2118.7,797.1,178.2,1470.6,2965.6,small_spike,Cinnamon soils,loam,20.4,6.6,115,7.2,210,75,75,4790
16,W-NCP,WNCP0016,2007,9.5,14.6,5.2,2476.3,858.3,184.9,1515.1,3056.7,small_spike,Cinnamon soils,loam,22.8,15.5,99,7.7,255,105,135,5325
17,W-NCP,WNCP0017,2009,7.8,12.8,3.4,2101.6,790,178.2,1470.6,2961.1,small_spike,Cinnamon soils,loam,16.8,4.7,110,7.2,225,90,75,5303
18,W-NCP,WNCP0018,2008,10.2,15.9,5.2,2563.3,971.3,93.9,1683.9,3199.8,small_spike,Cinnamon soils,loam,19.5,12.5,100,7.4,210,75,75,6488
19,W-NCP,WNCP0019,2008,10.2,15.9,5.2,2526.2,974.2,93.9,1656.1,3170.9,small_spike,Cinnamon soils,loam,19.7,10.3,105,7.7,225,90,75,6666
20,W-NCP,WNCP0020,2007,8.3,14,3.8,2246.2,740.2,174,1412.4,2918.7,small_spike,Cinnamon soils,loam,15,27,86,7.8,135,150,90,5085
21,W-NCP,WNCP0021,2007,8.8,14.5,4.3,2462.7,856.7,193.3,1428.5,3016.3,small_spike,Cinnamon soils,loam,16,25,97,7.7,135,150,90,5535
22,W-NCP,WNCP0022,2007,8.7,14.3,4.2,2411.5,825.5,193.3,1424.2,2994.5,small_spike,Cinnamon soils,sandy clay loam,18,32,88,7.6,180,150,120,6795
23,W-NCP,WNCP0023,2007,8.6,14.2,4.1,2363.5,797.5,205.4,1417.6,2963.1,small_spike,Cinnamon soils,sandy clay loam,18,35,101,7.8,225,150,150,7635
24,W-NCP,WNCP0024,2007,8.4,14.1,3.9,2294.3,768.3,174,1416.1,2939.5,small_spike,Cinnamon soils,sandy loam,17,31,99,7.9,180,150,120,6900
25,W-NCP,WNCP0025,2007,8.6,14.3,4.1,2379.4,813.4,168.8,1424.2,2985.3,small_spike,Cinnamon soils,sandy loam,17,31,99,7.9,180,150,120,5340
