Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,W-YZB,WYZB0001,2006,11.4,16.7,7.3,2418.4,807.9,322.6,1203.8,2664,small_spike,Paddy soils,clay,18.4,14.2,166,5.7,173,90,105,6018
2,W-YZB,WYZB0002,2006,11,16.3,6.9,2303.5,723,315.5,1208.9,2614.4,small_spike,Paddy soils,clay,18.5,17.7,112,5.7,173,90,105,6044
3,W-YZB,WYZB0003,2007,10.2,15.5,6.1,2225.9,730.7,406,1311.7,2825.3,small_spike,Paddy soils,clay,18.4,14.2,166,5.7,180,105,120,6213
4,W-YZB,WYZB0004,2009,9.3,14,5.6,2017.6,608.5,527.6,1113,2562,medium_spike,Paddy soils,clay,18.7,15.2,126,5.9,165,90,120,6224
5,W-YZB,WYZB0005,2007,10.4,15.7,6.3,2292.6,767.4,408.2,1339.5,2892.5,small_spike,Paddy soils,clay,12.1,11.1,113,6.5,188,90,105,6029
6,W-YZB,WYZB0006,2009,9.3,14,5.6,2017.6,608.5,527.6,1113,2562,small_spike,Paddy soils,clay,18.9,18.1,115,5.9,173,90,105,5983
7,W-YZB,WYZB0007,2006,11.4,16.8,7.3,2463.8,823.3,322.6,1236.8,2710.7,small_spike,Paddy soils,clay,16,19.7,133,6.2,165,90,120,6102
8,W-YZB,WYZB0008,2006,11.4,16.8,7.3,2463.8,823.3,322.6,1236.8,2710.7,small_spike,Paddy soils,clay,20.9,33.5,195,6,165,90,120,6152
9,W-YZB,WYZB0009,2007,10.2,15.5,6.1,2225.9,730.7,406,1311.7,2825.3,small_spike,Paddy soils,clay,17.1,18.6,92,6.4,180,105,120,6089
10,W-YZB,WYZB0010,2008,10.6,16.2,6.4,2291.8,731.5,250.9,1224.4,2668.9,small_spike,Paddy soils,clay,17.1,18.6,92,6.3,180,105,120,5975
11,W-YZB,WYZB0011,2006,11.4,16.7,7.3,2443.5,813,321.5,1236.8,2703.3,small_spike,Paddy soils,clay,11.1,37.1,130,5.9,165,90,120,5787
12,W-YZB,WYZB0012,2007,10.2,15.5,6.1,2225.9,730.7,406,1311.7,2825.3,small_spike,Paddy soils,clay,18.4,19.6,146,6.5,180,105,120,6119
13,W-YZB,WYZB0013,2008,10.6,16.2,6.4,2291.8,731.5,250.9,1224.4,2668.9,small_spike,Paddy soils,clay,18.4,19.6,146,6.5,180,105,120,6276
14,W-YZB,WYZB0014,2006,11,16.4,6.9,2336.5,736,315.5,1227.9,2646,small_spike,Paddy soils,clay,17,16.1,116,5.5,188,90,90,6728
15,W-YZB,WYZB0015,2007,10.2,15.5,6.2,2263.7,738.5,412.8,1318.4,2845.8,small_spike,Paddy soils,clay,9.7,6.6,90,7,188,90,105,6213
16,W-YZB,WYZB0016,2006,11.2,16.6,7.1,2393.6,773.1,315.5,1247.8,2692.9,small_spike,Paddy soils,clay,19.4,19,110,6.1,188,90,90,6504
