crops,indicator,group,value
North wheat,Tmax,Climatic variables,11.74188
North wheat,Olsen-P,Soil variables,10.909318
North wheat,PRE,Climatic variables,9.680401
North wheat,RAD,Climatic variables,8.847628
North wheat,Tmin,Climatic variables,8.717145
North wheat,SOM,Soil variables,8.370878
North wheat,Avail-K,Soil variables,7.542747
North wheat,GDD,Climatic variables,7.536471
North wheat,N rate,Management variables,6.584137
North wheat,pH,Soil variables,4.592115
North wheat,Soil texture,Soil variables,4.249135
North wheat,Soil type,Soil variables,4.074269
North wheat,K rate,Management variables,3.254815
North wheat,P rate,Management variables,2.249939
North wheat,Cultivar,Management variables,1.649122
South wheat,RAD,Climatic variables,17.699078
South wheat,N rate,Management variables,14.806689
South wheat,Soil type,Soil variables,8.63165
South wheat,Soil texture,Soil variables,8.131839
South wheat,PRE,Climatic variables,7.386372
South wheat,Tmin,Climatic variables,6.902273
South wheat,Olsen-P,Soil variables,6.143092
South wheat,Tmax,Climatic variables,5.987359
South wheat,SOM,Soil variables,4.225105
South wheat,GDD,Climatic variables,4.188678
South wheat,Avail-K,Soil variables,3.976128
South wheat,P rate,Management variables,3.834457
South wheat,K rate,Management variables,3.613365
South wheat,pH,Soil variables,2.964639
South wheat,Cultivar,Management variables,1.509275
Northwest wheat,Soil type,Soil variables,12.693123
Northwest wheat,Olsen-P,Soil variables,12.568769
Northwest wheat,RAD,Climatic variables,10.638141
Northwest wheat,PRE,Climatic variables,9.668994
Northwest wheat,N rate,Management variables,8.732474
Northwest wheat,Tmin,Climatic variables,8.172064
Northwest wheat,Tmax,Climatic variables,7.180211
Northwest wheat,SOM,Soil variables,6.022332
Northwest wheat,GDD,Climatic variables,5.601169
Northwest wheat,Avail-K,Soil variables,4.244043
Northwest wheat,Soil texture,Soil variables,4.209929
Northwest wheat,Cultivar,Management variables,3.783376
Northwest wheat,K rate,Management variables,3.095893
Northwest wheat,P rate,Management variables,1.971282
Northwest wheat,pH,Soil variables,1.4182
Northeast maize,N rate,Management variables,12.6266524
Northeast maize,SOM,Soil variables,9.7258296
Northeast maize,PRE,Climatic variables,9.5386816
Northeast maize,Tmin,Climatic variables,7.8519414
Northeast maize,Olsen-P,Soil variables,7.4022061
Northeast maize,Avail-K,Soil variables,7.0174328
Northeast maize,Tmax,Climatic variables,7.0013888
Northeast maize,Soil type,Soil variables,6.5076622
Northeast maize,RAD,Climatic variables,6.504182
Northeast maize,pH,Soil variables,6.2181384
Northeast maize,Soil texture,Soil variables,5.9309965
Northeast maize,GDD,Climatic variables,5.3383122
Northeast maize,K rate,Management variables,4.3481228
Northeast maize,P rate,Management variables,3.2188005
Northeast maize,Cultivar,Management variables,0.7696525
North maize,PRE,Climatic variables,11.755466
North maize,Tmin,Climatic variables,10.314985
