crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
ER-SC,25.7 ,29.8 ,22.6 ,2160.0 ,1320.0 ,512.3 ,503.8 ,1431.8 ,25.2 ,29.3 ,22.1 ,1936.7 ,1166.7 ,496.2 ,450.0 ,1292.1 
ER-SC,26.4 ,30.8 ,23.3 ,2298.8 ,1428.8 ,645.2 ,465.9 ,1331.9 ,26.4 ,30.8 ,23.3 ,2298.8 ,1428.8 ,645.2 ,465.9 ,1331.9 
ER-SC,27.1 ,32.0 ,23.5 ,2433.2 ,1536.5 ,,632.6 ,1686.5 ,25.8 ,29.9 ,22.4 ,2090.7 ,1280.7 ,,391.8 ,1229.3 
ER-SC,25.6 ,30.0 ,22.2 ,2149.1 ,1309.1 ,513.1 ,509.3 ,1444.0 ,25.2 ,29.6 ,22.0 ,2118.9 ,1278.9 ,530.4 ,480.4 ,1396.5 
ER-SC,25.1 ,29.8 ,21.7 ,2054.8 ,1234.8 ,742.0 ,353.7 ,1174.1 ,25.7 ,30.1 ,22.6 ,2028.4 ,1238.4 ,527.1 ,358.0 ,1158.5 
ER-SC,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 
ER-SC,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 
ER-SC,25.1 ,30.0 ,21.4 ,1907.4 ,1147.4 ,774.7 ,387.8 ,1185.7 ,25.1 ,30.0 ,21.4 ,1907.4 ,1147.4 ,774.7 ,387.8 ,1185.7 
ER-SC,24.6 ,30.0 ,21.0 ,2681.4 ,1591.4 ,995.6 ,463.9 ,1539.0 ,23.8 ,29.0 ,20.3 ,2614.3 ,1514.3 ,1011.5 ,415.6 ,1459.6 
ER-SC,24.6 ,30.0 ,21.0 ,2681.4 ,1591.4 ,995.6 ,463.9 ,1539.0 ,23.8 ,29.0 ,20.3 ,2614.3 ,1514.3 ,1011.5 ,415.6 ,1459.6 
ER-SC,27.1 ,32.4 ,23.5 ,3007.1 ,1897.1 ,380.9 ,614.7 ,1802.8 ,27.8 ,33.1 ,24.2 ,2803.2 ,1793.2 ,379.1 ,594.4 ,1702.3 
ER-SC,26.9 ,32.0 ,23.2 ,2632.3 ,1652.3 ,622.4 ,680.6 ,1608.0 ,26.9 ,32.0 ,23.2 ,2632.3 ,1652.3 ,622.4 ,680.6 ,1608.0 
ER-SC,25.4 ,30.0 ,22.1 ,2492.1 ,1512.1 ,659.1 ,655.0 ,1786.7 ,25.4 ,30.0 ,22.1 ,2492.1 ,1512.1 ,659.1 ,655.0 ,1786.7 
ER-SC,27.3 ,31.5 ,24.2 ,2345.1 ,1485.1 ,545.9 ,494.2 ,1431.5 ,27.3 ,31.5 ,24.2 ,2345.1 ,1485.1 ,545.9 ,494.2 ,1431.5 
ER-SC,25.9 ,31.0 ,22.5 ,2159.2 ,1325.9 ,742.5 ,397.3 ,1255.8 ,26.1 ,31.2 ,22.7 ,2158.9 ,1332.2 ,662.6 ,419.0 ,1286.6 
ER-SC,25.7 ,30.5 ,22.4 ,2591.0 ,1581.0 ,735.2 ,447.6 ,1463.1 ,25.7 ,30.6 ,22.5 ,2535.0 ,1550.0 ,716.3 ,432.6 ,1420.7 
ER-SC,26.1 ,30.9 ,22.4 ,2580.8 ,1590.8 ,730.9 ,418.8 ,1395.0 ,26.3 ,31.1 ,22.6 ,2482.5 ,1537.5 ,722.0 ,406.1 ,1343.0 
ER-SC,28.3 ,32.1 ,25.5 ,2261.8 ,1461.8 ,1063.5 ,521.9 ,1434.5 ,28.3 ,32.1 ,25.5 ,2261.8 ,1461.8 ,1063.5 ,521.9 ,1434.5 
ER-SC,25.5 ,30.0 ,22.3 ,2705.7 ,1645.7 ,434.3 ,558.6 ,1673.2 ,25.5 ,30.0 ,22.3 ,2705.7 ,1645.7 ,434.3 ,558.6 ,1673.2 
ER-SC,25.5 ,30.1 ,22.5 ,2706.5 ,1646.9 ,453.9 ,634.5 ,1798.9 ,25.5 ,30.1 ,22.5 ,2706.5 ,1646.9 ,453.9 ,634.5 ,1798.9 
ER-SC,27.3 ,32.2 ,23.6 ,2432.0 ,1542.0 ,240.0 ,639.2 ,1692.8 ,26.5 ,31.5 ,22.8 ,2262.3 ,1408.3 ,312.9 ,480.8 ,1405.7 
ER-SC,25.8 ,30.6 ,22.2 ,2011.9 ,1231.9 ,260.5 ,507.5 ,1397.7 ,24.4 ,29.2 ,20.7 ,2174.0 ,1281.4 ,502.9 ,466.0 ,1404.6 
