Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,W-YZB,WYZB0001,2006,WYZB01,11.4 ,16.7 ,7.3 ,2418.4 ,807.9 ,322.6 ,1203.8 ,2664.0 ,small_spike,Paddy soils,clay,18.4 ,14.2 ,166.0 ,5.7 ,173 ,90 ,105 ,1835 ,6018 
2,W-YZB,WYZB0002,2006,WYZB01,11.0 ,16.3 ,6.9 ,2303.5 ,723.0 ,315.5 ,1208.9 ,2614.4 ,small_spike,Paddy soils,clay,18.5 ,17.7 ,112.0 ,5.7 ,173 ,90 ,105 ,2054 ,6044 
3,W-YZB,WYZB0003,2007,WYZB01,10.2 ,15.5 ,6.1 ,2225.9 ,730.7 ,406.0 ,1311.7 ,2825.3 ,small_spike,Paddy soils,clay,18.4 ,14.2 ,166.0 ,5.7 ,180 ,105 ,120 ,3230 ,6213 
4,W-YZB,WYZB0004,2009,WYZB01,9.3 ,14.0 ,5.6 ,2017.6 ,608.5 ,527.6 ,1113.0 ,2562.0 ,medium_spike,Paddy soils,clay,18.7 ,15.2 ,126.0 ,5.9 ,165 ,90 ,120 ,1975 ,6224 
5,W-YZB,WYZB0005,2007,WYZB01,10.4 ,15.7 ,6.3 ,2292.6 ,767.4 ,408.2 ,1339.5 ,2892.5 ,small_spike,Paddy soils,clay,12.1 ,11.1 ,113.0 ,6.5 ,188 ,90 ,105 ,2654 ,6029 
6,W-YZB,WYZB0006,2009,WYZB01,9.3 ,14.0 ,5.6 ,2017.6 ,608.5 ,527.6 ,1113.0 ,2562.0 ,small_spike,Paddy soils,clay,18.9 ,18.1 ,115.0 ,5.9 ,173 ,90 ,105 ,2033 ,5983 
7,W-YZB,WYZB0007,2006,WYZB01,11.4 ,16.8 ,7.3 ,2463.8 ,823.3 ,322.6 ,1236.8 ,2710.7 ,small_spike,Paddy soils,clay,16.0 ,19.7 ,133.0 ,6.2 ,165 ,90 ,120 ,1937 ,6102 
8,W-YZB,WYZB0008,2006,WYZB01,11.4 ,16.8 ,7.3 ,2463.8 ,823.3 ,322.6 ,1236.8 ,2710.7 ,small_spike,Paddy soils,clay,20.9 ,33.5 ,195.0 ,6.0 ,165 ,90 ,120 ,2004 ,6152 
9,W-YZB,WYZB0009,2007,WYZB01,10.2 ,15.5 ,6.1 ,2225.9 ,730.7 ,406.0 ,1311.7 ,2825.3 ,small_spike,Paddy soils,clay,17.1 ,18.6 ,92.0 ,6.4 ,180 ,105 ,120 ,3166 ,6089 
10,W-YZB,WYZB0010,2008,WYZB01,10.6 ,16.2 ,6.4 ,2291.8 ,731.5 ,250.9 ,1224.4 ,2668.9 ,small_spike,Paddy soils,clay,17.1 ,18.6 ,92.0 ,6.3 ,180 ,105 ,120 ,2630 ,5975 
11,W-YZB,WYZB0011,2006,WYZB01,11.4 ,16.7 ,7.3 ,2443.5 ,813.0 ,321.5 ,1236.8 ,2703.3 ,small_spike,Paddy soils,clay,11.1 ,37.1 ,130.0 ,5.9 ,165 ,90 ,120 ,1985 ,5787 
12,W-YZB,WYZB0012,2007,WYZB01,10.2 ,15.5 ,6.1 ,2225.9 ,730.7 ,406.0 ,1311.7 ,2825.3 ,small_spike,Paddy soils,clay,18.4 ,19.6 ,146.0 ,6.5 ,180 ,105 ,120 ,3182 ,6119 
13,W-YZB,WYZB0013,2008,WYZB01,10.6 ,16.2 ,6.4 ,2291.8 ,731.5 ,250.9 ,1224.4 ,2668.9 ,small_spike,Paddy soils,clay,18.4 ,19.6 ,146.0 ,6.5 ,180 ,105 ,120 ,3263 ,6276 
14,W-YZB,WYZB0014,2006,WYZB01,11.0 ,16.4 ,6.9 ,2336.5 ,736.0 ,315.5 ,1227.9 ,2646.0 ,small_spike,Paddy soils,clay,17.0 ,16.1 ,116.0 ,5.5 ,188 ,90 ,90 ,2391 ,6728 
