Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
1,LR-SC,LRSC0001,2007,LRSC01,WS0890,25.11 ,30.77 ,21.31 ,2436.1,1466.1,406.6,521.1,1390.05,Paddy soil,sandy loam,41.6,64.9,52,7,150,60,60,6540,,
2,LR-SC,LRSC0002,2008,LRSC01,WS0890,26.27 ,31.78 ,22.71 ,2258.9,1398.9,157.8,476.5,1270.39,Paddy soil,sandy loam,41.6,4.9,52,7,150,60,120,6362,,
3,LR-SC,LRSC0003,2006,LRSC02,WS0751,23.26 ,28.59 ,19.51 ,2534.9,1444.9,304.5,475.9,1320.13,Paddy soil,clay loam,22.5,12.8,72,5.4,225,90,180,8901,,
4,LR-SC,LRSC0004,2005,LRSC02,WS0755,23.02 ,27.30 ,19.83 ,2485.7,1405.7,334.9,493.7,1336.27,Paddy soil,loam,25,15,125,5.2,180,45,75,7347,,
5,LR-SC,LRSC0005,2005,LRSC02,WS0755,23.69 ,28.00 ,20.50 ,2298.2,1328.2,315,469.3,1267.06,Paddy soil,sandy loam,20.3,8,55,4.8,180,45,75,7430,,
6,LR-SC,LRSC0006,2005,LRSC02,WS0755,23.78 ,28.04 ,20.61 ,2211.2,1281.2,314.7,439.3,1201.66,Paddy soil,sandy loam,20.7,7.5,58,7.8,180,45,75,7346,,
7,LR-SC,LRSC0007,2005,LRSC02,WS0755,24.14 ,28.40 ,20.96 ,2486.6,1456.6,363.4,498.2,1363.28,Paddy soil,sandy loam,26.9,9,64,6,180,45,75,7529,,
8,LR-SC,LRSC0008,2005,LRSC02,WS0755,24.06 ,28.34 ,20.87 ,2285.4,1335.4,316,456.4,1246.34,Paddy soil,sandy loam,27.2,15.3,62,6.2,180,45,75,7463,,
9,LR-SC,LRSC0009,2008,LRSC02,WS0782,23.63 ,28.86 ,20.15 ,2339.5,1349.5,390.1,459.7,1274.07,Paddy soil,silty clay loam,34.6,7.1,60,5.3,150,75,135,6540,,
10,LR-SC,LRSC0010,2008,LRSC03,WS0870,25.59 ,29.40 ,22.93 ,2815.1,1715.1,661.1,599.2,1569.48,Paddy soil,clay loam,20.6,3.1,60,5.2,150,60,90,6588,,
11,LR-SC,LRSC0011,2008,LRSC03,WS0870,25.70 ,29.52 ,23.07 ,2827.4,1727.4,661.1,598,1573.26,Paddy soil,clay loam,29.7,12.2,57,5.4,150,60,90,6011,,
12,LR-SC,LRSC0012,2008,LRSC03,WS0870,25.63 ,29.46 ,22.97 ,2844.5,1734.5,661.1,606,1587.76,Paddy soil,sandy loam,26.5,21.6,25,4.6,150,60,90,6614,,
13,LR-SC,LRSC0013,2008,LRSC03,WS0870,25.53 ,29.34 ,22.86 ,2833.7,1723.7,661.1,602.3,1577.77,Paddy soil,silty clay loam,38.1,30.7,31,5.2,150,60,90,6618,,
14,LR-SC,LRSC0014,2008,LRSC03,WS0870,25.63 ,29.46 ,22.97 ,2844.5,1734.5,661.1,606,1587.76,Paddy soil,clay loam,40,22.8,28,5.2,150,60,90,6788,,
15,LR-SC,LRSC0015,2007,LRSC03,WS0867,25.68 ,30.95 ,21.82 ,2568.3,1568.3,362,457.5,1307.4,Paddy soil,silty clay loam,26.8,28,42,5.9,150,60,105,6990,,
16,LR-SC,LRSC0016,2007,LRSC03,WS0867,25.92 ,31.27 ,21.98 ,2721.8,1671.8,381.3,501.5,1415.29,Paddy soil,silty clay loam,30.7,30.9,42,5.3,150,60,105,5235,,
17,LR-SC,LRSC0017,2007,LRSC03,WS0867,26.54 ,32.05 ,22.46 ,2733.4,1703.4,365.9,530.2,1467.2,Paddy soil,silty clay loam,63.3,17.2,49,5.8,150,60,105,5850,,
18,LR-SC,LRSC0018,2007,LRSC03,WS0867,25.92 ,31.27 ,21.98 ,2721.8,1671.8,381.3,501.5,1415.29,Paddy soil,silty clay loam,29.1,69.8,29,5.5,150,60,105,6030,,
19,LR-SC,LRSC0019,2008,LRSC03,WS0867,25.97 ,31.29 ,22.32 ,2935,1805,466.3,580.1,1549.3,Paddy soil,loam,34.5,12.9,45,5.1,150,60,105,6030,,
20,LR-SC,LRSC0020,2007,LRSC03,WS0867,26.64 ,32.13 ,22.60 ,2691.1,1681.1,365.9,515.7,1437.97,Paddy soil,silty clay loam,32.8,47,56,5.3,150,60,105,6480,,
21,LR-SC,LRSC0021,2007,LRSC03,WS0867,26.64 ,32.13 ,22.60 ,2691.1,1681.1,365.9,515.7,1437.97,Paddy soil,silty clay loam,35.4,9.7,35,5.2,150,60,105,6675,,
22,LR-SC,LRSC0022,2007,LRSC03,WS0867,26.64 ,32.13 ,22.60 ,2691.1,1681.1,365.9,515.7,1437.97,Paddy soil,silty clay loam,34.6,33.6,45,5.3,150,60,105,6270,,
23,LR-SC,LRSC0023,2007,LRSC03,WS0867,26.64 ,32.13 ,22.60 ,2691.1,1681.1,365.9,515.7,1437.97,Paddy soil,silty clay loam,29.7,31.1,74,5.2,150,60,105,7365,,
24,LR-SC,LRSC0024,2007,LRSC03,WS0867,26.64 ,32.13 ,22.60 ,2691.1,1681.1,365.9,515.7,1437.97,Paddy soil,silty clay loam,35.4,75.5,54,5.2,150,60,105,7260,,
25,LR-SC,LRSC0025,2008,LRSC03,WS0865,27.08 ,32.20 ,23.41 ,2924.1,1844.1,349.4,742.4,1827.12,Paddy soil,clay loam,10.6,7.6,37,4.9,180,72,126,7998,,
26,LR-SC,LRSC0026,2008,LRSC03,WS0865,27.19 ,32.29 ,23.53 ,2854.8,1804.8,349.4,719.5,1782.54,Paddy soil,silty clay loam,23.5,12.8,98,5,180,72,126,8877,,
27,LR-SC,LRSC0027,2008,LRSC03,WS0863,26.40 ,32.43 ,22.67 ,2850.7,1770.7,351.4,666.6,1731.39,Paddy soil,silty clay loam,21.9,22.6,106,6.2,180,90,126,7575,,
28,LR-SC,LRSC0028,2008,LRSC03,WS0862,27.17 ,33.87 ,23.21 ,2852.7,1802.7,359.8,654.1,1729.95,Paddy soil,silty clay loam,27.9,45,122,5.2,165,60,105,9975,,
29,LR-SC,LRSC0029,2008,LRSC03,WS0862,27.08 ,33.77 ,23.13 ,2897.4,1827.4,359.8,664.1,1754.36,Paddy soil,loam,35.5,43.8,136,4.8,165,60,105,9951,,
30,LR-SC,LRSC0030,2007,LRSC03,WS0855,24.08 ,30.48 ,19.72 ,2383.6,1393.6,397.8,604.6,1517.12,Paddy soil,silty clay loam,36.8,24.6,116,5,180,41,120,8020,,
31,LR-SC,LRSC0031,2008,LRSC03,WS0853,24.93 ,30.77 ,21.44 ,2568.2,1538.2,405.3,468.7,1335.52,Paddy soil,silty clay loam,38.8,62.3,109,4.5,165,72,126,7440,,
32,LR-SC,LRSC0032,2007,LRSC03,WS0853,23.59 ,29.87 ,19.62 ,2359,1359,184.1,453,1260.19,Paddy soil,loam,28.3,13.3,104,4.8,165,72,126,5745,,
