Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,M-NEC,MNEC0001,2007,MNEC01,WS0004,19.19 ,25.25 ,13.51 ,2398.3,1158.8,320.2,1236.9,2488.77,Albic soils,silty clay loam,38.8,24.6,122,5.9,128,92,18,8130
2,M-NEC,MNEC0002,2007,MNEC01,WS0004,19.19 ,25.25 ,13.51 ,2398.3,1158.8,320.2,1236.9,2488.77,Albic soils,silty clay loam,38.8,24.6,122,5.9,128,92,18,8130
3,M-NEC,MNEC0003,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,28.8,22,186,5.8,47,69,12,7770
4,M-NEC,MNEC0004,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,31.2,22.4,167,5.8,47,69,12,7815
5,M-NEC,MNEC0005,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,31.4,21.4,154,5.8,47,69,12,7500
6,M-NEC,MNEC0006,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,37.4,19.8,147,5.8,47,69,12,7515
7,M-NEC,MNEC0007,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,35.2,21.3,186,5.7,47,69,12,7485
8,M-NEC,MNEC0008,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,38.6,22.1,168,5.9,47,69,12,7560
9,M-NEC,MNEC0009,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,36.6,20.7,210,5.7,47,69,12,7485
10,M-NEC,MNEC0010,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,37.8,25.7,200,5.8,47,69,12,7470
11,M-NEC,MNEC0011,2008,MNEC01,WS0004,20.50 ,26.58 ,14.80 ,2234.6,1144.7,232.5,941.1,2042.82,Albic soils,silty clay loam,39.8,22.3,186,5.7,47,69,12,7500
12,M-NEC,MNEC0012,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,39.1,26.7,135,5.7,47,69,12,9315
13,M-NEC,MNEC0013,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,44.2,29.4,152,5.6,47,69,12,10815
14,M-NEC,MNEC0014,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,39.8,21.6,136,5.7,47,69,12,10260
15,M-NEC,MNEC0015,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,35.6,18.2,127,5.6,47,69,12,8490
16,M-NEC,MNEC0016,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,44.3,30.6,174,5.6,47,69,12,10065
17,M-NEC,MNEC0017,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,43.5,28.4,138,5.7,47,69,12,10815
18,M-NEC,MNEC0018,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,44.3,29.4,145,5.6,47,69,12,10785
19,M-NEC,MNEC0019,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,35.6,20.4,132,5.6,47,69,12,10335
20,M-NEC,MNEC0020,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,40.2,22.5,142,5.6,47,69,12,10425
21,M-NEC,MNEC0021,2010,MNEC01,WS0004,20.16 ,26.84 ,14.56 ,2257.5,1140,418.9,883.2,1945.58,Albic soils,clay loam,41.2,22.1,110,5.6,47,69,12,10455
22,M-NEC,MNEC0022,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,30.2,24.6,143,5.7,50,69,9,8814
23,M-NEC,MNEC0023,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,40.1,28.7,169,5.7,50,69,9,8967
24,M-NEC,MNEC0024,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,32,20.5,139,5.6,50,69,9,6824
25,M-NEC,MNEC0025,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,29.1,21.7,151,5.5,50,69,9,6380
26,M-NEC,MNEC0026,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,41.3,26.1,170,5.7,50,69,9,7539
27,M-NEC,MNEC0027,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,42.6,28.4,178,5.7,50,69,9,8814
28,M-NEC,MNEC0028,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,39.2,20.5,168,5.7,50,69,9,8786
29,M-NEC,MNEC0029,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,42.6,28.4,173,5.7,50,69,9,11786
30,M-NEC,MNEC0030,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,19.3,22.4,148,5.6,50,69,9,8708
31,M-NEC,MNEC0031,2011,MNEC01,WS0004,19.12 ,25.15 ,13.88 ,2198.9,1057.8,318,964.9,2081.65,Albic soils,clay loam,39.4,24.5,153,5.7,50,69,9,8676
32,M-NEC,MNEC0032,2008,MNEC01,WS0010,18.05 ,23.11 ,13.29 ,2834.6,1302.1,457.6,934.7,2246.1,Meadow soils,loam,40,51.6,259,5.9,152,83,41,10901
33,M-NEC,MNEC0033,2010,MNEC01,WS0010,20.15 ,25.61 ,15.20 ,2579,1322.9,543.5,1001.7,2218.23,Albic soils,silty clay loam,35,57.9,164,5.8,152,83,41,9795
