Order,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,SR-YZB,SRYZB0001,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay loam,20.6,16,105,5.8,180,72,150,8028
2,SR-YZB,SRYZB0002,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,loam,18,5.1,83,6.1,180,72,150,8130
3,SR-YZB,SRYZB0003,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,loam,12.5,19.2,119,6.1,180,72,150,7725
4,SR-YZB,SRYZB0004,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay loam,15.2,10.4,110,5,180,72,150,7915
5,SR-YZB,SRYZB0005,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay loam,28,21.5,146,4.9,180,72,150,7909
6,SR-YZB,SRYZB0006,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay,19.6,22.5,182,5.2,180,72,150,7209
7,SR-YZB,SRYZB0007,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay loam,24.4,9,130,5.4,180,72,150,8495
8,SR-YZB,SRYZB0008,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,sandy loam,15.8,8.5,195,7.3,180,72,150,6680
9,SR-YZB,SRYZB0009,2007,SRYZB01,WS0726,24.53 ,28.85 ,21.32 ,3630.6,2150.6,722.3,824.5,2197.29,Paddy soils,clay,17.2,16.2,88,6,180,72,150,8046
10,SR-YZB,SRYZB0010,2008,SRYZB01,WS0785,26.08 ,31.79 ,22.17 ,3337.7,2057.7,928.4,714.2,2013.08,Paddy soils,sandy loam,34.3,6.3,54,5.3,150,45,67,9471
11,SR-YZB,SRYZB0011,2007,SRYZB02,WS0428,26.21 ,30.96 ,22.67 ,2830.5,1750.5,875.5,476.905,1544.45,Paddy soils,clay loam,21.4,4.1,50,6.9,150,90,90,8280
12,SR-YZB,SRYZB0012,2009,SRYZB01,WS0720,26.62 ,30.90 ,23.30 ,3034.3,1894.3,557.4,616.6,1772.59,Paddy soils,clay,22.2,13.3,178,6.7,180,83,98,8852
13,SR-YZB,SRYZB0013,2008,SRYZB01,WS0720,26.24 ,30.48 ,23.02 ,2990.8,1850.8,376.5,692,1880.66,Paddy soils,clay,28.5,32.2,146,6.6,165,68,98,9387
