Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
1,W-NCP,WNCP0001,2006,WNCP01,WS0033,9.53 ,15.66 ,4.48 ,2398.6,861.8,152,1656.3,3251.52,Fluvo-aquic soils,loamy sand,26.1,68.2,115,8.1,225,120,90,8100,
2,W-NCP,WNCP0002,2006,WNCP01,WS0033,9.53 ,15.66 ,4.48 ,2398.6,861.8,152,1656.3,3251.52,Fluvo-aquic soils,loamy sand,19.8,42.2,116,8,270,135,113,7743,
3,W-NCP,WNCP0003,2006,WNCP01,WS0033,9.53 ,15.66 ,4.48 ,2398.6,861.8,152,1656.3,3251.52,Fluvo-aquic soils,loam,9.9,13.2,36,8.1,270,135,113,7242,
4,W-NCP,WNCP0004,2006,WNCP01,WS0033,9.45 ,15.58 ,4.40 ,2369.2,842.4,152,1653.3,3234.04,Fluvo-aquic soils,sand,16.5,15.9,145,8.2,225,120,90,6623,
5,W-NCP,WNCP0005,2008,WNCP01,WS0033,9.15 ,15.50 ,3.85 ,2284.7,767.7,138.6,1707,3248.36,Fluvo-aquic soils,loam,13.6,18.5,118,7.5,225,150,150,8546,
6,W-NCP,WNCP0006,2008,WNCP01,WS0033,9.14 ,15.46 ,3.87 ,2274.5,767.5,139.8,1692.4,3230.87,Fluvo-aquic soils,loam,12.5,23.6,134,7.5,180,150,120,7134,
7,W-NCP,WNCP0007,2008,WNCP01,WS0033,9.06 ,15.41 ,3.78 ,2246.2,749.2,138.6,1686.7,3207.86,Cinnamon soils,loamy sand,14.4,20.3,155,7.5,225,150,150,9045,
8,W-NCP,WNCP0008,2008,WNCP01,WS0033,9.21 ,15.53 ,3.94 ,2298.9,781.9,139.8,1701.2,3252.31,Cinnamon soils,loam,15.6,30.2,145,7.5,225,150,150,7743,
9,W-NCP,WNCP0009,2008,WNCP01,WS0033,9.11 ,15.40 ,3.85 ,2256.4,759.4,139.8,1682.3,3214.2,Cinnamon soils,loamy sand,11.2,20.6,125,7.5,180,150,120,6623,
10,W-NCP,WNCP0010,2008,WNCP01,WS0033,9.06 ,15.41 ,3.78 ,2246.2,749.2,138.6,1686.7,3207.86,Fluvo-aquic soils,loam,14.8,26.8,138,7.5,225,150,150,8100,
11,W-NCP,WNCP0011,2008,WNCP01,WS0033,8.99 ,15.30 ,3.72 ,2210.2,733.2,138.6,1667.1,3175.15,Fluvo-aquic soils,loam,8.5,12.4,89,7.5,180,150,120,7242,
12,W-NCP,WNCP0012,2008,WNCP01,WS0033,9.14 ,15.46 ,3.87 ,2274.5,767.5,139.8,1692.4,3230.87,Fluvo-aquic soils,loam,12.5,23.6,134,7.5,180,150,120,7200,
13,W-NCP,WNCP0013,2007,WNCP01,WS0031,9.73 ,14.84 ,5.35 ,2513.5,915.5,162.4,1537.8,3109.53,Cinnamon soils,loam,16.4,10.8,97,7.8,240,75,90,6135,
14,W-NCP,WNCP0014,2008,WNCP01,WS0031,9.70 ,15.39 ,4.72 ,2382.6,860.6,77,1620.8,3048.29,Cinnamon soils,clay,21.5,18.3,122,7.9,210,75,75,6251,
15,W-NCP,WNCP0015,2008,WNCP01,WS0031,9.98 ,15.65 ,5.01 ,2519.3,927.3,99.7,1664.6,3152.52,Cinnamon soils,loam,21.5,6.3,117,7.7,210,75,75,7001,
