Order,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,W-YZB,WYZB0001,2006,WYZB01,WS0720,11.35 ,16.67 ,7.31 ,2418.4,807.9,322.6,1203.8,2663.98,Paddy soils,clay,18.4,14.2,166,5.7,173,90,105,6018
2,W-YZB,WYZB0002,2006,WYZB01,WS0720,10.97 ,16.35 ,6.89 ,2303.5,723,315.5,1208.9,2614.37,Paddy soils,clay,18.5,17.7,112,5.7,173,90,105,6044
3,W-YZB,WYZB0003,2007,WYZB01,WS0720,10.19 ,15.47 ,6.12 ,2225.9,730.7,406,1311.7,2825.33,Paddy soils,clay,18.4,14.2,166,5.7,180,105,120,6213
4,W-YZB,WYZB0004,2009,WYZB01,WS0720,9.29 ,14.01 ,5.60 ,2017.6,608.5,527.6,1113,2562,Paddy soils,clay,18.7,15.2,126,5.9,165,90,120,6224
5,W-YZB,WYZB0005,2007,WYZB01,WS0720,10.35 ,15.65 ,6.27 ,2292.6,767.4,408.2,1339.5,2892.46,Paddy soils,clay,12.1,11.1,113,6.5,188,90,105,6029
6,W-YZB,WYZB0006,2009,WYZB01,WS0720,9.29 ,14.01 ,5.60 ,2017.6,608.5,527.6,1113,2562,Paddy soils,clay,18.9,18.1,115,5.9,173,90,105,5983
7,W-YZB,WYZB0007,2006,WYZB01,WS0720,11.41 ,16.77 ,7.34 ,2463.8,823.3,322.6,1236.8,2710.72,Paddy soils,clay,16,19.7,133,6.2,165,90,120,6102
8,W-YZB,WYZB0008,2006,WYZB01,WS0720,11.41 ,16.77 ,7.34 ,2463.8,823.3,322.6,1236.8,2710.72,Paddy soils,clay,20.9,33.5,195,6,165,90,120,6152
9,W-YZB,WYZB0009,2007,WYZB01,WS0720,10.19 ,15.47 ,6.12 ,2225.9,730.7,406,1311.7,2825.33,Paddy soils,clay,17.1,18.6,92,6.4,180,105,120,6089
10,W-YZB,WYZB0010,2008,WYZB01,WS0720,10.64 ,16.20 ,6.35 ,2291.8,731.5,250.9,1224.4,2668.85,Paddy soils,clay,17.1,18.6,92,6.3,180,105,120,5975
11,W-YZB,WYZB0011,2006,WYZB01,WS0720,11.37 ,16.74 ,7.29 ,2443.5,813,321.5,1236.8,2703.32,Paddy soils,clay,11.1,37.1,130,5.9,165,90,120,5787
12,W-YZB,WYZB0012,2007,WYZB01,WS0720,10.19 ,15.47 ,6.12 ,2225.9,730.7,406,1311.7,2825.33,Paddy soils,clay,18.4,19.6,146,6.5,180,105,120,6119
13,W-YZB,WYZB0013,2008,WYZB01,WS0720,10.64 ,16.20 ,6.35 ,2291.8,731.5,250.9,1224.4,2668.85,Paddy soils,clay,18.4,19.6,146,6.5,180,105,120,6276
14,W-YZB,WYZB0014,2006,WYZB01,WS0720,11.02 ,16.41 ,6.93 ,2336.5,736,315.5,1227.9,2646.03,Paddy soils,clay,17,16.1,116,5.5,188,90,90,6728
15,W-YZB,WYZB0015,2007,WYZB01,WS0720,10.22 ,15.47 ,6.18 ,2263.7,738.5,412.8,1318.4,2845.79,Paddy soils,clay,9.7,6.6,90,7,188,90,105,6213
16,W-YZB,WYZB0016,2006,WYZB01,WS0720,11.19 ,16.58 ,7.08 ,2393.6,773.1,315.5,1247.8,2692.86,Paddy soils,clay,19.4,19,110,6.1,188,90,90,6504
17,W-YZB,WYZB0017,2006,WYZB01,WS0720,10.94 ,16.31 ,6.86 ,2285.9,715.4,315.5,1199.3,2598.56,Paddy soils,clay,12.7,25.8,103,6,165,90,120,6021
18,W-YZB,WYZB0018,2006,WYZB01,WS0720,11.19 ,16.58 ,7.10 ,2372,771.5,315.5,1228.9,2668.42,Paddy soils,clay,20.4,23.8,145,5.8,188,90,90,6239
19,W-YZB,WYZB0019,2009,WYZB01,WS0750,8.80 ,13.24 ,5.33 ,1860.1,507.2,503,937.6,2263,Yellow-cinnamon soils,loamy sand,12.7,10.4,89,5.9,180,45,75,5736
20,W-YZB,WYZB0020,2008,WYZB01,WS0750,10.24 ,15.24 ,6.08 ,2054.3,600.7,337.1,908.644,2182.91,Yellow-brown earths,silty clay loam,23.8,38.4,103,5.7,180,45,60,6687
21,W-YZB,WYZB0021,2009,WYZB01,WS0750,9.55 ,13.93 ,6.01 ,2048,606.7,613.6,891.8,2278.68,Paddy soils,sandy loam,17.8,28.4,94,5.7,180,45,75,6315
22,W-YZB,WYZB0022,2008,WYZB01,WS0750,10.65 ,15.58 ,6.58 ,2284.6,691,368.6,931.944,2269.05,Yellow-brown earths,silty clay loam,17,40.7,108,5.3,180,45,60,5003
23,W-YZB,WYZB0023,2008,WYZB01,WS0749,11.42 ,16.49 ,7.21 ,2321.7,807.4,404.1,1030.8,2449.35,Paddy soils,clay loam,17.8,16.8,133,6,209,104,68,5339
24,W-YZB,WYZB0024,2008,WYZB01,WS0724,11.85 ,16.36 ,8.20 ,2656.8,890.2,278.3,1192.9,2648.11,Paddy soils,clay,18.4,56.4,86,7.7,210,90,135,5750
25,W-YZB,WYZB0025,2008,WYZB01,WS0724,11.72 ,16.25 ,8.04 ,2591.2,854.6,266.2,1190.4,2631.62,Paddy soils,clay,17.4,2.1,94,6.2,210,90,135,5801
26,W-YZB,WYZB0026,2008,WYZB01,WS0724,11.85 ,16.36 ,8.20 ,2656.8,890.2,278.3,1192.9,2648.11,Paddy soils,clay,24,15.6,157,5.8,210,90,135,7050
27,W-YZB,WYZB0027,2008,WYZB01,WS0724,11.72 ,16.25 ,8.04 ,2591.2,854.6,266.2,1190.4,2631.62,Paddy soils,clay,22.5,17,120,6.4,210,90,135,6800
28,W-YZB,WYZB0028,2008,WYZB01,WS0724,11.80 ,16.32 ,8.15 ,2634.3,877.7,278.3,1192.9,2643.61,Paddy soils,clay,19.4,35,98,7.2,210,90,135,6050
29,W-YZB,WYZB0029,2008,WYZB01,WS0724,11.69 ,16.23 ,8.01 ,2574,847.4,263,1181,2615.63,Paddy soils,clay,17.4,16.6,87,6.4,210,90,135,5550
30,W-YZB,WYZB0030,2008,WYZB01,WS0724,11.69 ,16.23 ,8.01 ,2574,847.4,263,1181,2615.63,Paddy soils,clay,20.8,28.5,90,7.3,210,90,135,6230
31,W-YZB,WYZB0031,2008,WYZB01,WS0724,11.85 ,16.36 ,8.20 ,2656.8,890.2,278.3,1192.9,2648.11,Paddy soils,clay,20.8,20.1,90,7.3,210,90,135,6551
