Soil quality,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
low,early rice,ERSC0006,2008,ERSC03,WS0748,24.16 ,28.83 ,20.27 ,1956.6,1146.6,387.3,410,1256.48,Paddy soils,,32.7 ,8.8 ,93 ,5.3 ,180 ,105 ,210 ,6735 
low,early rice,ERSC0008,2008,ERSC03,WS0748,23.34 ,28.22 ,19.17 ,1983.9,1133.9,387.3,448.7,1344.16,Paddy soils,,31.7 ,4.0 ,48 ,4.6 ,180 ,105 ,210 ,6120 
high,early rice,ERSC0010,2008,ERSC03,WS0748,23.51 ,28.42 ,19.33 ,1951.7,1121.7,387.3,436.8,1311.52,Paddy soils,,47.1 ,20.6 ,180 ,5.0 ,180 ,105 ,210 ,5190 
low,early rice,ERSC0012,2008,ERSC03,WS0748,23.77 ,28.65 ,19.64 ,1996.8,1156.8,387.3,441.5,1326.98,Paddy soils,,31.1 ,6.0 ,93 ,5.3 ,180 ,105 ,210 ,5190 
low,early rice,ERSC0017,2008,ERSC03,WS0748,23.55 ,28.43 ,19.42 ,1907.7,1097.7,387.3,416.7,1265.07,Paddy soils,,23.9 ,9.6 ,76 ,4.7 ,180 ,105 ,210 ,7710 
high,early rice,ERSC1009,2009,ERSC08,WS0825,25.87 ,30.25 ,22.53 ,2121.2,1301.2,572.7,447.4,1326.6,Paddy soils,,34.6 ,61.2 ,36 ,5.7 ,180 ,60 ,135 ,6008 
low,early rice,ERSC1010,2008,ERSC08,WS0825,25.87 ,30.25 ,22.53 ,2121.2,1301.2,572.7,447.4,1326.6,Paddy soils,,24.7 ,15.3 ,47 ,4.9 ,135 ,60 ,135 ,5543 
low,early rice,ERSC1011,2008,ERSC08,WS0825,25.87 ,30.25 ,22.53 ,2121.2,1301.2,572.7,447.4,1326.6,Paddy soils,,26.0 ,11.8 ,72 ,5.3 ,180 ,54 ,135 ,7889 
high,early rice,ERSC1015,2008,ERSC08,WS0821,25.03 ,29.86 ,21.61 ,1927.3,1157.3,586.7,330.3,1098.5,Paddy soils,,36.4 ,17.5 ,59 ,4.9 ,150 ,57 ,117 ,6105 
high,early rice,ERSC1017,2007,ERSC08,WS0821,25.03 ,29.86 ,21.61 ,1927.3,1157.3,586.7,330.3,1098.5,Paddy soils,,41.4 ,24.2 ,100 ,5.1 ,150 ,60 ,120 ,5925 
high,early rice,ERSC1018,2009,ERSC08,WS0821,24.92 ,30.27 ,21.08 ,1993.6,1193.6,405.7,420.2,1267.72,Paddy soils,,38.0 ,25.4 ,68 ,5.3 ,150 ,60 ,120 ,6444 
low,early rice,ERSC1020,2006,ERSC08,WS0822,26.00 ,29.97 ,22.82 ,1742.3,1072.3,580.6,354.7,1068.18,Paddy soils,,29.3 ,9.6 ,38 ,4.8 ,138 ,54 ,120 ,6210 
