Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,ER-SC,ERSC0001,2007,ERSC01,WS0881,25.35 ,28.55 ,23.18 ,2535.4,1535.4,437.1,598.4,1702.16,Paddy soils,,21.1,10.1,159,6.9,150,30,105,7423
2,ER-SC,ERSC0002,2007,ERSC02,WS0919,24.87 ,29.54 ,21.52 ,2611.7,1561.7,988.7,327.1,1275.34,Paddy soils,,18.3,29.1,42,5.7,150,45,120,5385
3,ER-SC,ERSC0003,2007,ERSC02,WS0918,25.90 ,31.14 ,22.65 ,2563.8,1573.8,1034,480.5,1492.74,Paddy soils,,25.6,43.9,84,5.4,135,41,108,5370
4,ER-SC,ERSC0004,2008,ERSC02,WS0665,23.53 ,28.28 ,19.76 ,2352.8,1352.8,336,499.3,1527.92,Paddy soils,,35,34,200,5.6,113,45,120,7950
5,ER-SC,ERSC0005,2007,ERSC03,WS0748,23.62 ,28.21 ,19.74 ,2055.2,1185.2,382.3,423.3,1314.92,Paddy soils,,26.7,6,104,5.1,180,105,210,7065
6,ER-SC,ERSC0006,2008,ERSC03,WS0748,24.16 ,28.83 ,20.27 ,1956.6,1146.6,387.3,410,1256.48,Paddy soils,,32.7,8.8,93,5.3,180,105,210,6735
7,ER-SC,ERSC0007,2007,ERSC03,WS0748,23.62 ,28.21 ,19.74 ,2055.2,1185.2,382.3,423.3,1314.92,Paddy soils,,26.2,9,94,5.1,180,105,210,5429
8,ER-SC,ERSC0008,2008,ERSC03,WS0748,23.34 ,28.22 ,19.17 ,1983.9,1133.9,387.3,448.7,1344.16,Paddy soils,,31.7,4,48,4.6,180,105,210,6120
9,ER-SC,ERSC0009,2009,ERSC03,WS0748,23.64 ,28.92 ,19.33 ,2009.5,1159.5,549,449.7,1345.15,Paddy soils,,34.1,4.4,142,5.3,180,105,210,5120
10,ER-SC,ERSC0010,2008,ERSC03,WS0748,23.51 ,28.42 ,19.33 ,1951.7,1121.7,387.3,436.8,1311.52,Paddy soils,,47.1,20.6,180,5,180,105,210,5190
11,ER-SC,ERSC0011,2007,ERSC03,WS0748,24.19 ,28.64 ,20.47 ,1935.5,1135.5,336.2,372.1,1186.32,Paddy soils,,23.6,5,81,5,180,105,210,6450
12,ER-SC,ERSC0012,2008,ERSC03,WS0748,23.77 ,28.65 ,19.64 ,1996.8,1156.8,387.3,441.5,1326.98,Paddy soils,,31.1,6,93,5.3,180,105,210,5190
13,ER-SC,ERSC0013,2009,ERSC03,WS0748,23.90 ,29.23 ,19.54 ,1935.6,1125.6,504.1,430.5,1287.23,Paddy soils,,25.2,30.6,122,5.1,180,105,210,6420
14,ER-SC,ERSC0014,2007,ERSC03,WS0748,24.42 ,28.86 ,20.69 ,1953.3,1153.3,338.5,382.4,1203.79,Paddy soils,,26.4,9,71,4.9,180,105,210,6470
15,ER-SC,ERSC0015,2009,ERSC03,WS0748,24.22 ,29.51 ,19.91 ,1962.2,1152.2,504.1,430.6,1288.45,Paddy soils,,27.3,23.8,107,4.4,180,105,210,6465
16,ER-SC,ERSC0016,2007,ERSC03,WS0748,24.42 ,28.86 ,20.69 ,1953.3,1153.3,338.5,382.4,1203.79,Paddy soils,,28.7,11,89,5,180,105,210,6600
17,ER-SC,ERSC0017,2008,ERSC03,WS0748,23.55 ,28.43 ,19.42 ,1907.7,1097.7,387.3,416.7,1265.07,Paddy soils,,23.9,9.6,76,4.7,180,105,210,7710
18,ER-SC,ERSC0018,2009,ERSC03,WS0748,24.29 ,29.55 ,20.01 ,1943.2,1143.2,504.1,420.3,1265,Paddy soils,,45.8,5.9,76,4.8,180,105,210,8370
