Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,M-NCP,MNCP0001,2006,MNCP01,WS0132,24.33 ,29.86 ,19.84 ,2457.1,1447.1,224.1,545.5,1467.16,Cinnamon soils,loam,11.4,9.9,79,8,135,135,105,8412
2,M-NCP,MNCP0002,2006,MNCP01,WS0132,24.33 ,29.86 ,19.84 ,2457.1,1447.1,224.1,545.5,1467.16,Cinnamon soils,loam,16,11.9,74,8,180,135,150,9806
3,M-NCP,MNCP0003,2006,MNCP01,WS0132,24.33 ,29.86 ,19.84 ,2457.1,1447.1,224.1,545.5,1467.16,Cinnamon soils,loam,21.1,13.9,89,8,225,135,180,10313
4,M-NCP,MNCP0004,2005,MNCP01,WS0033,25.17 ,30.64 ,20.68 ,2944.6,1774.6,514.7,898.4,2166.58,Fluvo-aquic soils,loam,9.7,23.3,85,8.1,270,135,113,9386
5,M-NCP,MNCP0005,2005,MNCP01,WS0033,25.06 ,30.49 ,20.60 ,2932.3,1762.3,532.6,887.9,2145.08,Fluvo-aquic soils,loam,9.8,21.2,192,8.2,270,135,113,10268
6,M-NCP,MNCP0006,2009,MNCP01,WS0033,24.65 ,30.00 ,20.12 ,3007.3,1787.3,443.1,897.6,2220.49,Fluvo-aquic soils,loam,10.4,77.8,106,7.5,180,60,120,10268
7,M-NCP,MNCP0007,2009,MNCP01,WS0033,24.58 ,29.94 ,20.01 ,3072.4,1822.4,443.1,931.1,2295.55,Fluvo-aquic soils,loam,8.7,17.7,153,7.5,225,60,150,11201
8,M-NCP,MNCP0008,2009,MNCP01,WS0033,24.60 ,29.97 ,20.05 ,3050.8,1810.8,443.1,919.2,2264.88,Fluvo-aquic soils,loam,6.5,19.3,46,7.3,180,60,120,10334
9,M-NCP,MNCP0009,2009,MNCP01,WS0033,24.62 ,29.98 ,20.07 ,3028.2,1798.2,443.1,909.4,2246.53,Cinnamon soils,loamy sand,17.1,11.7,155,7.6,225,60,150,11190
10,M-NCP,MNCP0010,2009,MNCP01,WS0033,24.58 ,29.95 ,20.03 ,3072.7,1822.7,443.1,931.3,2291.38,Cinnamon soils,loamy sand,12.8,14.2,75,7.5,180,60,120,10380
11,M-NCP,MNCP0011,2009,MNCP01,WS0033,24.58 ,29.95 ,20.03 ,3072.7,1822.7,443.1,931.3,2291.38,Fluvo-aquic soils,loam,17.4,16.2,145,7.5,225,60,150,11135
12,M-NCP,MNCP0012,2009,MNCP01,WS0033,24.55 ,29.90 ,20.02 ,3093.3,1833.3,443.1,935.8,2302.54,Fluvo-aquic soils,loam,16.5,15.9,145,7.3,180,60,120,9470
13,M-NCP,MNCP0013,2009,MNCP01,WS0033,24.66 ,29.99 ,20.10 ,3008,1788,443,907.9,2244.16,Fluvo-aquic soils,loam,21.5,21.6,66,7.3,225,60,120,10967
14,M-NCP,MNCP0014,2009,MNCP01,WS0033,24.63 ,29.99 ,20.13 ,3029.8,1799.8,443.1,909.5,2238.83,Fluvo-aquic soils,loam,14.6,12.8,125,7.5,180,60,120,9365
15,M-NCP,MNCP0015,2008,MNCP01,WS0138,23.56 ,28.90 ,19.66 ,2496.9,1436.9,367.4,586.4,1544.86,Cinnamon soils,loam,16.4,7.5,154,7.2,180,60,120,5856
16,M-NCP,MNCP0016,2010,MNCP01,WS0031,26.46 ,31.21 ,22.30 ,2936.9,1826.9,356.2,746.2,1886.62,Cinnamon soils,loam,21.5,6.3,117,7.7,180,30,60,5400
