Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
M-NEC,MNEC0001,2007,黑龙江农垦总局,Heilongjiang,8650673,19.1864,25.2464,13.5112,2398.3,1158.8,320.2,1236.9,2488.77,白浆土,Albic soils,silty clay loam,38.8,24.6,122,5.9,128,92,18,8130
M-NEC,MNEC0002,2007,黑龙江农垦总局,Heilongjiang,8650673,19.1864,25.2464,13.5112,2398.3,1158.8,320.2,1236.9,2488.77,白浆土,Albic soils,silty clay loam,38.8,24.6,122,5.9,128,92,18,8130
M-NEC,MNEC0003,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,28.8,22,186,5.8,47,69,12,7770
M-NEC,MNEC0004,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,31.2,22.4,167,5.8,47,69,12,7815
M-NEC,MNEC0005,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,31.4,21.4,154,5.8,47,69,12,7500
M-NEC,MNEC0006,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,37.4,19.8,147,5.8,47,69,12,7515
M-NEC,MNEC0007,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,35.2,21.3,186,5.7,47,69,12,7485
M-NEC,MNEC0008,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,38.6,22.1,168,5.9,47,69,12,7560
M-NEC,MNEC0009,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,36.6,20.7,210,5.7,47,69,12,7485
M-NEC,MNEC0010,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,37.8,25.7,200,5.8,47,69,12,7470
M-NEC,MNEC0011,2008,黑龙江农垦总局,Heilongjiang,8650673,20.50091743,26.57706422,14.79816514,2234.6,1144.7,232.5,941.1,2042.82,白浆土,Albic soils,silty clay loam,39.8,22.3,186,5.7,47,69,12,7500
M-NEC,MNEC0012,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,39.1,26.7,135,5.7,47,69,12,9315
M-NEC,MNEC0013,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,44.2,29.4,152,5.6,47,69,12,10815
M-NEC,MNEC0014,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,39.8,21.6,136,5.7,47,69,12,10260
M-NEC,MNEC0015,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,35.6,18.2,127,5.6,47,69,12,8490
M-NEC,MNEC0016,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,44.3,30.6,174,5.6,47,69,12,10065
M-NEC,MNEC0017,2010,黑龙江农垦总局,Heilongjiang,8650673,20.15625,26.84196429,14.55535714,2257.5,1140,418.9,883.2,1945.58,白浆土,Albic soils,clay loam,43.5,28.4,138,5.7,47,69,12,10815
