Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,M-SWC,MSWC0001,2009,MSWC01,WS0559,18.95 ,23.35 ,16.12 ,2955.7,1395.8,689.7,738.5,2292.3,Yellow earths,,36.1,28.6,188,6.2,225,150,240,11052
2,M-SWC,MSWC0002,2009,MSWC01,WS0559,18.71 ,23.10 ,15.92 ,2825.4,1315.5,713.3,691.5,2189.71,Yellow earths,,26,5.8,269,6.1,225,150,240,10116
3,M-SWC,MSWC0003,2008,MSWC01,WS0640,25.61 ,31.49 ,22.12 ,3816.3,2326.3,783.2,739.2,2214.67,Limestone soils,,16.3,13.2,50,4.6,210,135,210,9622
4,M-SWC,MSWC0004,2009,MSWC01,WS0640,25.93 ,31.79 ,22.27 ,3501.1,2151.1,621.6,627,1984.9,Limestone soils,,20.1,7.8,61,6.2,225,150,225,6623
5,M-SWC,MSWC0005,2009,MSWC01,WS0640,25.93 ,31.79 ,22.27 ,3501.1,2151.1,621.6,627,1984.9,Limestone soils,,22.6,7.8,58,6.3,210,135,210,6303
6,M-SWC,MSWC0006,2009,MSWC01,WS0640,25.93 ,31.79 ,22.27 ,3501.1,2151.1,621.6,627,1984.9,Limestone soils,,21.1,7.4,63,6.3,180,120,180,5805
7,M-SWC,MSWC0007,2009,MSWC01,WS0601,21.29 ,26.28 ,17.98 ,2725.5,1445.5,370.3,539.4,1714.68,Yellow earths,,66.3,65,126,5.1,255,150,210,9746
8,M-SWC,MSWC0008,2009,MSWC01,WS0601,21.77 ,26.72 ,18.49 ,2786,1506,388.7,522.6,1747.4,Yellow earths,,51.6,48.8,119,5.2,240,120,180,7955
9,M-SWC,MSWC0009,2009,MSWC01,WS0601,21.74 ,26.70 ,18.47 ,2783.2,1503.2,391,521.2,1744.04,Yellow earths,,55,8.5,50,4.9,225,120,165,7724
10,M-SWC,MSWC0010,2006,MSWC01,WS0562,20.07 ,24.73 ,16.98 ,3372.2,1708,620.7,843.7,2534.29,Yellow earths,,49,13,140,5.1,153,50,108,7040
11,M-SWC,MSWC0011,2006,MSWC01,WS0562,20.60 ,25.20 ,17.53 ,3316.4,1706.8,615.4,833.2,2465.56,Yellow earths,,29.5,14.1,221,7.2,153,50,65,7539
12,M-SWC,MSWC0012,2006,MSWC01,WS0562,20.74 ,25.29 ,17.74 ,3048.7,1579.1,610.8,748.3,2252.95,Yellow earths,,37.6,12.7,120,8,207,120,216,6750
13,M-SWC,MSWC0013,2006,MSWC01,WS0562,21.12 ,25.61 ,18.22 ,2703.9,1424.3,551.3,645.7,1957.48,Yellow earths,,33.3,11,159,7.2,213,144,108,8592
14,M-SWC,MSWC0014,2006,MSWC01,WS0562,21.08 ,25.57 ,18.19 ,2656.2,1396.6,549.7,639.7,1931.83,Yellow earths,,56.6,63.4,136,5.2,56,129,126,6883
15,M-SWC,MSWC0015,2006,MSWC01,WS0562,20.86 ,25.38 ,17.90 ,2774,1444.4,538.5,689.2,2048.96,Limestone soils,,33.3,11,159,7.2,51,168,108,6980
16,M-SWC,MSWC0016,2006,MSWC01,WS0562,20.15 ,24.76 ,17.11 ,3223.9,1639.7,616.1,789.1,2403.46,Yellow earths,,23,25.2,191,5.8,158,101,129,8302
17,M-SWC,MSWC0017,2006,MSWC01,WS0562,20.87 ,25.39 ,17.91 ,2921.8,1522.2,584.3,716.2,2145.19,Yellow earths,,38.9,25.4,196,7.8,48,105,105,6778
18,M-SWC,MSWC0018,2006,MSWC01,WS0562,20.06 ,24.48 ,17.09 ,2747.7,1393.5,550.2,621.9,1991.34,Yellow earths,,40,34.5,132,6.1,152,129,126,8255
19,M-SWC,MSWC0019,2006,MSWC01,WS0562,20.83 ,25.39 ,17.82 ,2999.2,1559.6,584.3,752.9,2224.77,Yellow earths,,37.6,15.5,106,6.8,57,120,108,8366
20,M-SWC,MSWC0020,2006,MSWC01,WS0562,20.83 ,25.37 ,17.84 ,2958,1538.4,585.2,733.1,2190.63,Yellow earths,,54.5,24.5,109,6.4,234,101,180,7006
21,M-SWC,MSWC0021,2006,MSWC01,WS0564,21.10 ,25.95 ,17.75 ,3143.3,1664.3,437.9,638,2092.84,Yellow earths,,29.9,10,113,5,210,135,210,7880
22,M-SWC,MSWC0022,2007,MSWC01,WS0564,21.25 ,25.88 ,18.25 ,2740.9,1450.9,748.3,508.7,1752.62,Yellow earths,,36.4,12.2,100,5,225,150,240,8133
23,M-SWC,MSWC0023,2007,MSWC01,WS0564,21.11 ,25.73 ,18.09 ,2596.9,1366.9,653.5,480,1667.11,Limestone soils,,20.3,16.2,155,6.4,210,135,210,9137
24,M-SWC,MSWC0024,2007,MSWC01,WS0564,21.19 ,25.79 ,18.22 ,2733,1443,750.1,493.2,1728.36,Paddy soils,,39.9,18.2,160,7.8,180,120,180,9476
25,M-SWC,MSWC0025,2007,MSWC01,WS0564,21.06 ,25.76 ,17.96 ,2695.7,1415.7,665.7,512.3,1753.35,Limestone soils,,22.4,16.5,60,6.3,210,135,210,8889
26,M-SWC,MSWC0026,2007,MSWC01,WS0564,21.18 ,25.79 ,18.19 ,2668.3,1408.3,717.9,485.6,1696.2,Limestone soils,,39.1,26.6,125,4.9,180,120,180,9275
27,M-SWC,MSWC0027,2008,MSWC01,WS0564,20.67 ,25.28 ,17.70 ,2728.8,1408.8,596.9,414.1,1617.3,Limestone soils,,37.8,9.4,139,6,210,135,210,10355
28,M-SWC,MSWC0028,2008,MSWC01,WS0564,20.96 ,25.58 ,17.97 ,2766.4,1446.4,589.4,414.1,1613.56,Limestone soils,,25.5,18.7,56,6.5,180,120,180,7982
29,M-SWC,MSWC0029,2008,MSWC01,WS0564,20.96 ,25.57 ,17.96 ,2682.4,1402.4,583.9,405.4,1575.13,Limestone soils,,21.4,6.7,105,6.7,210,135,210,7965
