Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
SR-YZB,SRYZB0001,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay loam,20.6,16,105,5.83,180,72,150,8028
SR-YZB,SRYZB0002,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,loam,18,5.1,83,6.1,180,72,150,8130
SR-YZB,SRYZB0003,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,loam,12.5,19.2,119,6.1,180,72,150,7725
SR-YZB,SRYZB0004,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay loam,15.2,10.4,110,4.96,180,72,150,7915
SR-YZB,SRYZB0005,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay loam,28,21.5,146,4.9,180,72,150,7909
SR-YZB,SRYZB0006,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay,19.6,22.5,182,5.23,180,72,150,7209
SR-YZB,SRYZB0007,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay loam,24.4,9,130,5.35,180,72,150,8495
SR-YZB,SRYZB0008,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,sandy loam,15.8,8.5,195,7.3,180,72,150,6680
SR-YZB,SRYZB0009,2007,安徽,Anhui,8658234,24.53108108,28.8472973,21.31824324,3630.6,2150.6,722.3,824.5,2197.29,水稻土,Paddy soils,clay,17.2,16.2,88,6.01,180,72,150,8046
SR-YZB,SRYZB0010,2008,安徽,Anhui,8658438,26.07578125,31.790625,22.17265625,3337.7,2057.7,928.4,714.2,2013.08,水稻土,Paddy soils,sandy loam,34.3,6.3,54,5.3,149.93,44.98,67.47,9471
SR-YZB,SRYZB0011,2007,重庆,Chongqing ,8657338,26.20833333,30.96388889,22.66574074,2830.5,1750.5,875.5,476.905,1544.45,水稻土,Paddy soils,clay loam,21.4,4.09,49.66,6.88,150,90,90,8280
SR-YZB,SRYZB0012,2009,安徽,Anhui,8658220,26.61666667,30.89824561,23.30263158,3034.3,1894.3,557.4,616.6,1772.59,水稻土,Paddy soils,clay,22.21,13.3,178,6.7,180,82.5,97.5,8852.1
SR-YZB,SRYZB0013,2008,安徽,Anhui,8658220,26.23508772,30.48157895,23.01754386,2990.8,1850.8,376.5,692,1880.66,水稻土,Paddy soils,clay,28.46,32.2,146,6.6,165,67.5,97.5,9387
SR-YZB,SRYZB0014,2008,安徽,Anhui,8658220,26.23508772,30.48157895,23.01754386,2990.8,1850.8,376.5,692,1880.66,水稻土,Paddy soils,clay,22.46,8.4,240,6.6,180,75,90,8464.5
SR-YZB,SRYZB0015,2006,安徽,Anhui,8658220,26.88333333,31.31754386,23.35701754,3064.7,1924.7,669.5,800.1,2059.24,水稻土,Paddy soils,clay,20.307,24,46,6.7,187.5,90,105,7804.5
SR-YZB,SRYZB0016,2008,安徽,Anhui,8658220,26.23508772,30.48157895,23.01754386,2990.8,1850.8,376.5,692,1880.66,水稻土,Paddy soils,clay,19.65,21,68,6.6,180,75,105,7876.5
SR-YZB,SRYZB0017,2009,安徽,Anhui,8658220,26.61666667,30.89824561,23.30263158,3034.3,1894.3,557.4,616.6,1772.59,水稻土,Paddy soils,clay,23.5,23.5,45,6.6,187.5,90,105,7764.9
SR-YZB,SRYZB0018,2006,安徽,Anhui,8658220,26.89459459,31.30630631,23.43693694,2985.3,1875.3,668.8,766.3,1971.28,水稻土,Paddy soils,clay,21.354,12.8,84,6.6,180,82.5,97.5,8764.5
SR-YZB,SRYZB0019,2007,安徽,Anhui,8658220,26.47368421,30.77105263,23.23947368,3018,1878,931.9,691.1,1881.51,水稻土,Paddy soils,clay,22.45,18.2,105,6.6,180,75,90,8380.5
SR-YZB,SRYZB0020,2007,安徽,Anhui,8658220,26.47368421,30.77105263,23.23947368,3018,1878,931.9,691.1,1881.51,水稻土,Paddy soils,clay,21.45,18.2,105,6.6,180,75,90,8350.5
SR-YZB,SRYZB0021,2008,安徽,Anhui,8658319,25.87631579,29.88157895,22.82807018,2949.9,1809.9,710.3,475.9,1533.49,水稻土,Paddy soils,sandy loam,34,4.7,26,5.1,300,150,375,9015
SR-YZB,SRYZB0022,2009,安徽,Anhui,8658319,26.29385965,30.55614035,23.14912281,2997.5,1857.5,708.1,535.8,1634.69,水稻土,Paddy soils,sandy loam,23.2,14.5,54,4.8,300,150,375,9030
SR-YZB,SRYZB0023,2008,安徽,Anhui,8658319,25.65913043,29.62956522,22.7026087,2950.8,1800.8,694.7,474.8,1522.14,水稻土,Paddy soils,clay,34.7,2.6,34,5.4,300,150,375,10410
SR-YZB,SRYZB0024,2009,安徽,Anhui,8658319,26.25504587,30.43853211,23.28899083,2861.8,1771.8,660.1,495.4,1516.53,水稻土,Paddy soils,loam,32.1,5.4,59,4.6,300,150,375,8985
