Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-NWC,WNWC0001,2007,甘肃省,Gansu,8652984,4.731205674,11.81595745,-0.70106383,1882.2,517.1,360.1,1675.6,3688.44,黄绵土,Cultivated loessial soils,silty clay loam,11.3,32.7,81,8.2,124.5,90,40.5,7020
W-NWC,WNWC0002,2007,甘肃省,Gansu,8652984,4.755319149,11.85886525,-0.684751773,1889,523.9,369.8,1681.6,3703.14,黑垆土,Dark loessial soils,silty clay loam,16.3,21.5,94,8.2,124.5,90,40.5,5805
W-NWC,WNWC0003,2007,甘肃省,Gansu,8652984,4.831578947,11.89017544,-0.567017544,1925,529.9,371.1,1682.7,3719.43,黄绵土,Cultivated loessial soils,silty clay loam,10.5,28.7,99,8.4,124.5,90,40.5,7170
W-NWC,WNWC0004,2008,甘肃省,Gansu,8652984,5.635357143,13.18892857,0.021428571,1933.6,524.2,209.1,1778.7,3714.02,黑垆土,Dark loessial soils,silty clay loam,12.4,19.4,84,8.3,124.5,90,40.5,6150
W-NWC,WNWC0005,2008,甘肃省,Gansu,8652984,5.736170213,13.28049645,0.132269504,1973.3,543.9,209.1,1790.4,3747.38,黑垆土,Dark loessial soils,silty clay loam,11.2,19.5,101,8.4,124.5,90,40.5,6535.5
W-NWC,WNWC0006,2008,甘肃省,Gansu,8652984,5.736170213,13.28049645,0.132269504,1973.3,543.9,209.1,1790.4,3747.38,黑垆土,Dark loessial soils,silty clay loam,16.9,20.3,114,8.4,124.5,90,40.5,6675
W-NWC,WNWC0007,2007,甘肃省,Gansu,8652984,4.540433213,11.66425993,-0.917689531,1805.7,490.6,356,1654.8,3626.25,黑垆土,Dark loessial soils,silty clay loam,32.6,19.4,89,8.2,103.5,72,34.5,5334
W-NWC,WNWC0008,2008,甘肃省,Gansu,8652984,5.835211268,13.37323944,0.228873239,2012.9,563.5,209.1,1803.4,3782.75,黑垆土,Dark loessial soils,silty clay loam,16.7,19.7,73,8.3,103.5,72,34.5,7167
W-NWC,WNWC0009,2008,甘肃省,Gansu,8652984,5.835211268,13.37323944,0.228873239,2012.9,563.5,209.1,1803.4,3782.75,黑垆土,Dark loessial soils,silty clay loam,18.6,34.6,83,8.4,124.5,90,40.5,6165
W-NWC,WNWC0010,2006,甘肃省,Gansu,8657014,8.843295019,16.14597701,3.215708812,2423.9,811.2,174.8,1447.4,3239.8,黄绵土,Cultivated loessial soils,silty clay loam,10.3,27,304,8.3,103.5,72,60,4587
W-NWC,WNWC0011,2005,甘肃省,Gansu,8657014,7.700787402,14.88779528,2.087795276,2097.9,638.1,204.5,1474.9,3208.68,新积土,Alluvial?soils,silty clay loam,9,6.3,116,8.4,103.5,72,60,4897.5
W-NWC,WNWC0012,2005,甘肃省,Gansu,8657014,7.700787402,14.88779528,2.087795276,2097.9,638.1,204.5,1474.9,3208.68,新积土,Alluvial?soils,silty clay loam,9.8,22.6,371,8.5,103.5,72,60,3981
W-NWC,WNWC0013,2005,甘肃省,Gansu,8657014,7.700787402,14.88779528,2.087795276,2097.9,638.1,204.5,1474.9,3208.68,新积土,Alluvial?soils,sandy loam,11.6,9.1,108,8.3,103.5,72,60,4717.5
W-NWC,WNWC0014,2006,甘肃省,Gansu,8657014,8.799618321,16.07938931,3.209160305,2421.3,798.6,179.3,1446.4,3232.67,新积土,Alluvial?soils,silty clay loam,26.5,25,265,8.3,103.5,72,60,4828.5
W-NWC,WNWC0015,2007,甘肃省,Gansu,8657001,7.648484848,13.89848485,2.753787879,2276,711.3,214.9,1648.3,3495.46,灌淤土,Irrigating warped soils,loam,12.4,18.2,167,8.2,138,90,72,6217.5
W-NWC,WNWC0016,2007,甘肃省,Gansu,8657001,7.807924528,14.09962264,2.890943396,2325.9,743.9,272.8,1661.7,3529.64,灌淤土,Irrigating warped soils,sandy loam,18.6,28.4,193,8.2,172.5,108,112.5,5860.5
W-NWC,WNWC0017,2007,甘肃省,Gansu,8657001,7.514509804,13.84705882,2.545882353,2173,687.7,154.6,1631.2,3421.34,灌淤土,Irrigating warped soils,sandy loam,28.9,32.8,195,8.1,172.5,108,112.5,6304.5
W-NWC,WNWC0018,2008,甘肃省,Gansu,8657001,8.372623574,14.6338403,3.578326996,2330.9,738.2,178.7,1472,3237.98,灌淤土,Irrigating warped soils,sandy loam,16.8,26.7,187,8.1,172.5,108,112.5,5584.5
W-NWC,WNWC0019,2008,甘肃省,Gansu,8657001,7.934677419,14.24677419,3.108467742,2096.7,649.7,164.5,1423.5,3085.12,灌淤土,Irrigating warped soils,sandy loam,24.7,34.3,245,8.3,172.5,108,112.5,6345
W-NWC,WNWC0020,2007,甘肃省,Gansu,8657001,7.909774436,14.23609023,2.95112782,2360.8,767.7,264.5,1682.7,3573.35,灌淤土,Irrigating warped soils,loam,10.7,25.3,115,7.9,172.5,108,112.5,6546
W-NWC,WNWC0021,2008,甘肃省,Gansu,8657001,8.360227273,14.60833333,3.584848485,2336,733.3,180.3,1478.5,3248.21,灌淤土,Irrigating warped soils,loam,12.2,27,118,8.2,172.5,108,112.5,7173
W-NWC,WNWC0022,2009,甘肃省,Gansu,8657008,6.137121212,12.18787879,1.850757576,1799.9,400.9,253.6,1206.8,2874.35,灌淤土,Irrigating warped soils,loam,13.4,11.1,189,7.2,237,108,102,3319.5
W-NWC,WNWC0023,2009,甘肃省,Gansu,8657008,6.137121212,12.18787879,1.850757576,1799.9,400.9,253.6,1206.8,2874.35,灌淤土,Irrigating warped soils,loam,11,9.5,171,7.2,237,108,118.35,3336
W-NWC,WNWC0024,2009,甘肃省,Gansu,8657008,5.889230769,11.94807692,1.617692308,1710.9,351.9,253.6,1182.7,2800.71,灌淤土,Irrigating warped soils,loam,9.8,11.2,182,7.3,157.5,97.5,91.5,3168
W-NWC,WNWC0025,2009,甘肃省,Gansu,8657008,5.988973384,12.05513308,1.723954373,1754.8,365.8,254.1,1198.1,2836.87,灌淤土,Irrigating warped soils,loam,18.8,8.9,192,7.7,157.5,97.5,91.5,3283.5
