Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-YZB,WYZB0001,2006,安徽省,Anhui,8658220,11.35399061,16.66619718,7.307981221,2418.4,807.9,322.6,1203.8,2663.98,水稻土,Paddy soils,clay,18.389,14.2,166,5.7,172.5,90,105,6018
W-YZB,WYZB0002,2006,安徽省,Anhui,8658220,10.96904762,16.34619048,6.886666667,2303.5,723,315.5,1208.9,2614.37,水稻土,Paddy soils,clay,18.489,17.7,112,5.7,172.5,90,105,6043.5
W-YZB,WYZB0003,2007,安徽省,Anhui,8658220,10.1864486,15.47149533,6.119158879,2225.9,730.7,406,1311.7,2825.33,水稻土,Paddy soils,clay,18.389,14.2,166,5.7,180,105,120,6212.85
W-YZB,WYZB0004,2009,安徽省,Anhui,8658220,9.286511628,14.00697674,5.60372093,2017.6,608.5,527.6,1113,2562,水稻土,Paddy soils,clay,18.7,15.2,126,5.9,165,90,120,6224.1
W-YZB,WYZB0005,2007,安徽省,Anhui,8658220,10.35299539,15.65207373,6.267281106,2292.6,767.4,408.2,1339.5,2892.46,水稻土,Paddy soils,clay,12.078,11.1,113,6.5,187.5,90,105,6028.5
W-YZB,WYZB0006,2009,安徽省,Anhui,8658220,9.286511628,14.00697674,5.60372093,2017.6,608.5,527.6,1113,2562,水稻土,Paddy soils,clay,18.86,18.1,115,5.9,172.5,90,105,5983.05
W-YZB,WYZB0007,2006,安徽省,Anhui,8658220,11.40648148,16.76666667,7.344444444,2463.8,823.3,322.6,1236.8,2710.72,水稻土,Paddy soils,clay,16.02,19.7,133,6.2,165,90,120,6102
W-YZB,WYZB0008,2006,安徽省,Anhui,8658220,11.40648148,16.76666667,7.344444444,2463.8,823.3,322.6,1236.8,2710.72,水稻土,Paddy soils,clay,20.94,33.5,195,6,165,90,120,6151.5
W-YZB,WYZB0009,2007,安徽省,Anhui,8658220,10.1864486,15.47149533,6.119158879,2225.9,730.7,406,1311.7,2825.33,水稻土,Paddy soils,clay,17.1,18.6,92,6.4,180,105,120,6088.5
W-YZB,WYZB0010,2008,安徽省,Anhui,8658220,10.64225352,16.19906103,6.35258216,2291.8,731.5,250.9,1224.4,2668.85,水稻土,Paddy soils,clay,17.1,18.6,92,6.3,180,105,120,5974.5
W-YZB,WYZB0011,2006,安徽省,Anhui,8658220,11.36511628,16.73906977,7.29255814,2443.5,813,321.5,1236.8,2703.32,水稻土,Paddy soils,clay,11.078,37.1,130,5.9,165,90,120,5787
W-YZB,WYZB0012,2007,安徽省,Anhui,8658220,10.1864486,15.47149533,6.119158879,2225.9,730.7,406,1311.7,2825.33,水稻土,Paddy soils,clay,18.39,19.6,146,6.5,180,105,120,6118.95
W-YZB,WYZB0013,2008,安徽省,Anhui,8658220,10.64225352,16.19906103,6.35258216,2291.8,731.5,250.9,1224.4,2668.85,水稻土,Paddy soils,clay,18.39,19.6,146,6.5,180,105,120,6276
W-YZB,WYZB0014,2006,安徽省,Anhui,8658220,11.02122642,16.40518868,6.928773585,2336.5,736,315.5,1227.9,2646.03,水稻土,Paddy soils,clay,17.046,16.1,116,5.5,187.5,90,90,6727.5
W-YZB,WYZB0015,2007,安徽省,Anhui,8658220,10.21981567,15.47419355,6.177419355,2263.7,738.5,412.8,1318.4,2845.79,水稻土,Paddy soils,clay,9.72,6.6,90,7,187.5,90,105,6213
W-YZB,WYZB0016,2006,安徽省,Anhui,8658220,11.18504673,16.57663551,7.082242991,2393.6,773.1,315.5,1247.8,2692.86,水稻土,Paddy soils,clay,19.356,19,110,6.1,187.5,90,90,6504
W-YZB,WYZB0017,2006,安徽省,Anhui,8658220,10.93732057,16.30861244,6.862679426,2285.9,715.4,315.5,1199.3,2598.56,水稻土,Paddy soils,clay,12.69,25.8,103,6,165,90,120,6021
W-YZB,WYZB0018,2006,安徽省,Anhui,8658220,11.18867925,16.57735849,7.098113208,2372,771.5,315.5,1228.9,2668.42,水稻土,Paddy soils,clay,20.41,23.8,145,5.8,187.5,90,90,6238.5
W-YZB,WYZB0019,2009,安徽省,Anhui,8658323,8.796650718,13.24114833,5.328708134,1860.1,507.2,503,937.6,2263,黄褐土,Yellow-cinnamon soils,loamy sand,12.7,10.4,89,5.9,180,45,75,5736
