Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,M-NCP,MNCP0001,2005,MNCP01,medium_maturity,25.2 ,30.6 ,20.7 ,2944.6 ,1774.6 ,514.7 ,898.4 ,2166.6 ,Fluvo-aquic soils,loam,9.7 ,23.3 ,85.0 ,8.1 ,270 ,135 ,113 ,7460 ,9386 
2,M-NCP,MNCP0002,2005,MNCP01,medium_maturity,25.1 ,30.5 ,20.6 ,2932.3 ,1762.3 ,532.6 ,887.9 ,2145.1 ,Fluvo-aquic soils,loam,9.8 ,21.2 ,192.0 ,8.2 ,270 ,135 ,113 ,8003 ,10268 
3,M-NCP,MNCP0003,2009,MNCP01,medium_maturity,24.7 ,30.0 ,20.1 ,3007.3 ,1787.3 ,443.1 ,897.6 ,2220.5 ,Fluvo-aquic soils,loam,10.4 ,77.8 ,106.0 ,7.5 ,180 ,60 ,120 ,8001 ,10268 
4,M-NCP,MNCP0004,2009,MNCP01,medium_maturity,24.6 ,29.9 ,20.0 ,3072.4 ,1822.4 ,443.1 ,931.1 ,2295.6 ,Fluvo-aquic soils,loam,8.7 ,17.7 ,153.0 ,7.5 ,225 ,60 ,150 ,9101 ,11201 
5,M-NCP,MNCP0005,2009,MNCP01,medium_maturity,24.6 ,30.0 ,20.1 ,3050.8 ,1810.8 ,443.1 ,919.2 ,2264.9 ,Fluvo-aquic soils,loam,6.5 ,19.3 ,46.0 ,7.3 ,180 ,60 ,120 ,8100 ,10334 
6,M-NCP,MNCP0006,2009,MNCP01,medium_maturity,24.6 ,30.0 ,20.1 ,3028.2 ,1798.2 ,443.1 ,909.4 ,2246.5 ,Cinnamon soils,loamy sand,17.1 ,11.7 ,155.0 ,7.6 ,225 ,60 ,150 ,9180 ,11190 
7,M-NCP,MNCP0007,2009,MNCP01,medium_maturity,24.6 ,29.9 ,20.0 ,3072.7 ,1822.7 ,443.1 ,931.3 ,2291.4 ,Cinnamon soils,loamy sand,12.8 ,14.2 ,75.0 ,7.5 ,180 ,60 ,120 ,8190 ,10380 
8,M-NCP,MNCP0008,2009,MNCP01,medium_maturity,24.6 ,29.9 ,20.0 ,3072.7 ,1822.7 ,443.1 ,931.3 ,2291.4 ,Fluvo-aquic soils,loam,17.4 ,16.2 ,145.0 ,7.5 ,225 ,60 ,150 ,9035 ,11135 
9,M-NCP,MNCP0009,2009,MNCP01,medium_maturity,24.6 ,29.9 ,20.0 ,3093.3 ,1833.3 ,443.1 ,935.8 ,2302.5 ,Fluvo-aquic soils,loam,16.5 ,15.9 ,145.0 ,7.3 ,180 ,60 ,120 ,7770 ,9470 
10,M-NCP,MNCP0010,2009,MNCP01,medium_maturity,24.7 ,30.0 ,20.1 ,3008.0 ,1788.0 ,443.0 ,907.9 ,2244.2 ,Fluvo-aquic soils,loam,21.5 ,21.6 ,66.0 ,7.3 ,225 ,60 ,120 ,8570 ,10967 
