Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,M-NEC,MNEC0001,2007,MNEC01,19.2 ,25.2 ,13.5 ,2398.3 ,1158.8 ,320.2 ,1236.9 ,2488.8 ,medium_maturity,Albic soils,silty clay loam,38.8 ,24.6 ,122.0 ,5.9 ,128 ,92 ,18 ,6300 ,8130 
2,M-NEC,MNEC0002,2007,MNEC01,19.2 ,25.2 ,13.5 ,2398.3 ,1158.8 ,320.2 ,1236.9 ,2488.8 ,medium_maturity,Albic soils,silty clay loam,38.8 ,24.6 ,122.0 ,5.9 ,128 ,92 ,18 ,6300 ,8130 
3,M-NEC,MNEC0003,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,28.8 ,22.0 ,186.0 ,5.8 ,47 ,69 ,12 ,3915 ,7770 
4,M-NEC,MNEC0004,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,31.2 ,22.4 ,167.0 ,5.8 ,47 ,69 ,12 ,3795 ,7815 
5,M-NEC,MNEC0005,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,31.4 ,21.4 ,154.0 ,5.8 ,47 ,69 ,12 ,3555 ,7500 
6,M-NEC,MNEC0006,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,37.4 ,19.8 ,147.0 ,5.8 ,47 ,69 ,12 ,3915 ,7515 
7,M-NEC,MNEC0007,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,35.2 ,21.3 ,186.0 ,5.7 ,47 ,69 ,12 ,3765 ,7485 
8,M-NEC,MNEC0008,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,38.6 ,22.1 ,168.0 ,5.9 ,47 ,69 ,12 ,3720 ,7560 
9,M-NEC,MNEC0009,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,36.6 ,20.7 ,210.0 ,5.7 ,47 ,69 ,12 ,4080 ,7485 
10,M-NEC,MNEC0010,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,37.8 ,25.7 ,200.0 ,5.8 ,47 ,69 ,12 ,3840 ,7470 
11,M-NEC,MNEC0011,2008,MNEC01,20.5 ,26.6 ,14.8 ,2234.6 ,1144.7 ,232.5 ,941.1 ,2042.8 ,medium_maturity,Albic soils,silty clay loam,39.8 ,22.3 ,186.0 ,5.7 ,47 ,69 ,12 ,4155 ,7500 
12,M-NEC,MNEC0012,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,39.1 ,26.7 ,135.0 ,5.7 ,47 ,69 ,12 ,4611 ,9315 
13,M-NEC,MNEC0013,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,44.2 ,29.4 ,152.0 ,5.6 ,47 ,69 ,12 ,6006 ,10815 
14,M-NEC,MNEC0014,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,39.8 ,21.6 ,136.0 ,5.7 ,47 ,69 ,12 ,6585 ,10260 
15,M-NEC,MNEC0015,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,35.6 ,18.2 ,127.0 ,5.6 ,47 ,69 ,12 ,6495 ,8490 
16,M-NEC,MNEC0016,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,44.3 ,30.6 ,174.0 ,5.6 ,47 ,69 ,12 ,6540 ,10065 
17,M-NEC,MNEC0017,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,43.5 ,28.4 ,138.0 ,5.7 ,47 ,69 ,12 ,6645 ,10815 
18,M-NEC,MNEC0018,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,44.3 ,29.4 ,145.0 ,5.6 ,47 ,69 ,12 ,6495 ,10785 
19,M-NEC,MNEC0019,2010,MNEC01,20.2 ,26.8 ,14.6 ,2257.5 ,1140.0 ,418.9 ,883.2 ,1945.6 ,medium_maturity,Albic soils,clay loam,35.6 ,20.4 ,132.0 ,5.6 ,47 ,69 ,12 ,6855 ,10335 
