Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,SR-YZB,SRYZB0001,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay loam,20.6 ,16.0 ,105.0 ,5.8 ,180 ,72 ,150 ,4575 ,8028 
2,SR-YZB,SRYZB0002,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,loam,18.0 ,5.1 ,83.0 ,6.1 ,180 ,72 ,150 ,4635 ,8130 
3,SR-YZB,SRYZB0003,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,loam,12.5 ,19.2 ,119.0 ,6.1 ,180 ,72 ,150 ,4691 ,7725 
4,SR-YZB,SRYZB0004,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay loam,15.2 ,10.4 ,110.0 ,5.0 ,180 ,72 ,150 ,5057 ,7915 
5,SR-YZB,SRYZB0005,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay loam,28.0 ,21.5 ,146.0 ,4.9 ,180 ,72 ,150 ,5103 ,7909 
6,SR-YZB,SRYZB0006,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay,19.6 ,22.5 ,182.0 ,5.2 ,180 ,72 ,150 ,5178 ,7209 
7,SR-YZB,SRYZB0007,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay loam,24.4 ,9.0 ,130.0 ,5.4 ,180 ,72 ,150 ,5211 ,8495 
8,SR-YZB,SRYZB0008,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,sandy loam,15.8 ,8.5 ,195.0 ,7.3 ,180 ,72 ,150 ,5402 ,6680 
9,SR-YZB,SRYZB0009,2007,SRYZB01,medium_maturity,24.5 ,28.8 ,21.3 ,3630.6 ,2150.6 ,722.3 ,824.5 ,2197.3 ,Paddy soils,clay,17.2 ,16.2 ,88.0 ,6.0 ,180 ,72 ,150 ,5436 ,8046 
10,SR-YZB,SRYZB0010,2008,SRYZB01,medium_maturity,26.1 ,31.8 ,22.2 ,3337.7 ,2057.7 ,928.4 ,714.2 ,2013.1 ,Paddy soils,sandy loam,34.3 ,6.3 ,54.0 ,5.3 ,150 ,45 ,67 ,6436 ,9471 
11,SR-YZB,SRYZB0011,2007,SRYZB11,medium_maturity,26.2 ,31.0 ,22.7 ,2830.5 ,1750.5 ,875.5 ,476.9 ,1544.5 ,Paddy soils,clay loam,21.4 ,4.1 ,49.7 ,6.9 ,150 ,90 ,90 ,4157 ,8280 
12,SR-YZB,SRYZB0012,2009,SRYZB01,medium_maturity,26.6 ,30.9 ,23.3 ,3034.3 ,1894.3 ,557.4 ,616.6 ,1772.6 ,Paddy soils,clay,22.2 ,13.3 ,178.0 ,6.7 ,180 ,83 ,98 ,5881 ,8852 
13,SR-YZB,SRYZB0013,2008,SRYZB01,medium_maturity,26.2 ,30.5 ,23.0 ,2990.8 ,1850.8 ,376.5 ,692.0 ,1880.7 ,Paddy soils,clay,28.5 ,32.2 ,146.0 ,6.6 ,165 ,68 ,98 ,6030 ,9387 
14,SR-YZB,SRYZB0014,2008,SRYZB01,medium_maturity,26.2 ,30.5 ,23.0 ,2990.8 ,1850.8 ,376.5 ,692.0 ,1880.7 ,Paddy soils,clay,22.5 ,8.4 ,240.0 ,6.6 ,180 ,75 ,90 ,6434 ,8465 
15,SR-YZB,SRYZB0015,2006,SRYZB01,medium_maturity,26.9 ,31.3 ,23.4 ,3064.7 ,1924.7 ,669.5 ,800.1 ,2059.2 ,Paddy soils,clay,20.3 ,24.0 ,46.0 ,6.7 ,188 ,90 ,105 ,4808 ,7805 
16,SR-YZB,SRYZB0016,2008,SRYZB01,medium_maturity,26.2 ,30.5 ,23.0 ,2990.8 ,1850.8 ,376.5 ,692.0 ,1880.7 ,Paddy soils,clay,19.7 ,21.0 ,68.0 ,6.6 ,180 ,75 ,105 ,5852 ,7877 
17,SR-YZB,SRYZB0017,2009,SRYZB01,medium_maturity,26.6 ,30.9 ,23.3 ,3034.3 ,1894.3 ,557.4 ,616.6 ,1772.6 ,Paddy soils,clay,23.5 ,23.5 ,45.0 ,6.6 ,188 ,90 ,105 ,4784 ,7765 
18,SR-YZB,SRYZB0018,2006,SRYZB01,medium_maturity,26.9 ,31.3 ,23.4 ,2985.3 ,1875.3 ,668.8 ,766.3 ,1971.3 ,Paddy soils,clay,21.4 ,12.8 ,84.0 ,6.6 ,180 ,83 ,98 ,5823 ,8765 
19,SR-YZB,SRYZB0019,2007,SRYZB01,medium_maturity,26.5 ,30.8 ,23.2 ,3018.0 ,1878.0 ,931.9 ,691.1 ,1881.5 ,Paddy soils,clay,22.5 ,18.2 ,105.0 ,6.6 ,180 ,75 ,90 ,6371 ,8381 
20,SR-YZB,SRYZB0020,2007,SRYZB01,medium_maturity,26.5 ,30.8 ,23.2 ,3018.0 ,1878.0 ,931.9 ,691.1 ,1881.5 ,Paddy soils,clay,21.5 ,18.2 ,105.0 ,6.6 ,180 ,75 ,90 ,6327 ,8351 
21,SR-YZB,SRYZB0021,2008,SRYZB01,medium_maturity,25.9 ,29.9 ,22.8 ,2949.9 ,1809.9 ,710.3 ,475.9 ,1533.5 ,Paddy soils,sandy loam,34.0 ,4.7 ,26.0 ,5.1 ,300 ,150 ,375 ,4719 ,9015 
22,SR-YZB,SRYZB0022,2009,SRYZB01,medium_maturity,26.3 ,30.6 ,23.1 ,2997.5 ,1857.5 ,708.1 ,535.8 ,1634.7 ,Paddy soils,sandy loam,23.2 ,14.5 ,54.0 ,4.8 ,300 ,150 ,375 ,4665 ,9030 
23,SR-YZB,SRYZB0023,2008,SRYZB01,medium_maturity,25.7 ,29.6 ,22.7 ,2950.8 ,1800.8 ,694.7 ,474.8 ,1522.1 ,Paddy soils,clay,34.7 ,2.6 ,34.0 ,5.4 ,300 ,150 ,375 ,5970 ,10410 
24,SR-YZB,SRYZB0024,2009,SRYZB01,medium_maturity,26.3 ,30.4 ,23.3 ,2861.8 ,1771.8 ,660.1 ,495.4 ,1516.5 ,Paddy soils,loam,32.1 ,5.4 ,59.0 ,4.6 ,300 ,150 ,375 ,5430 ,8985 
25,SR-YZB,SRYZB0025,2006,SRYZB01,late_maturity,26.0 ,30.4 ,22.4 ,3117.2 ,1917.2 ,478.5 ,728.9 ,1966.7 ,Yellow-cinnamon soils,silty clay loam,24.3 ,23.3 ,114.0 ,6.8 ,210 ,120 ,240 ,5801 ,9458 
26,SR-YZB,SRYZB0026,2007,SRYZB01,medium_maturity,25.9 ,29.9 ,22.8 ,2820.5 ,1730.5 ,798.7 ,589.8 ,1666.5 ,Yellow-cinnamon soils,silty clay loam,21.1 ,18.0 ,91.0 ,5.8 ,210 ,120 ,240 ,5880 ,7433 
