Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,W-NCP,WNCP0001,2006,WNCP01,9.5 ,15.7 ,4.5 ,2398.6 ,861.8 ,152.0 ,1656.3 ,3251.5 ,small_spike,Fluvo-aquic soils,loamy sand,19.8 ,42.2 ,116.0 ,8.0 ,270 ,135 ,113 ,5528 ,7743 
2,W-NCP,WNCP0002,2006,WNCP01,9.5 ,15.7 ,4.5 ,2398.6 ,861.8 ,152.0 ,1656.3 ,3251.5 ,small_spike,Fluvo-aquic soils,loam,9.9 ,13.2 ,36.0 ,8.1 ,270 ,135 ,113 ,4862 ,7242 
3,W-NCP,WNCP0003,2006,WNCP01,9.4 ,15.6 ,4.4 ,2369.2 ,842.4 ,152.0 ,1653.3 ,3234.0 ,small_spike,Fluvo-aquic soils,sand,16.5 ,15.9 ,145.0 ,8.2 ,225 ,120 ,90 ,3921 ,6623 
4,W-NCP,WNCP0004,2008,WNCP01,9.1 ,15.5 ,3.8 ,2284.7 ,767.7 ,138.6 ,1707.0 ,3248.4 ,small_spike,Fluvo-aquic soils,loam,13.6 ,18.5 ,118.0 ,7.5 ,225 ,150 ,150 ,6201 ,8546 
5,W-NCP,WNCP0005,2008,WNCP01,9.1 ,15.5 ,3.9 ,2274.5 ,767.5 ,139.8 ,1692.4 ,3230.9 ,small_spike,Fluvo-aquic soils,loam,12.5 ,23.6 ,134.0 ,7.5 ,180 ,150 ,120 ,4367 ,7134 
6,W-NCP,WNCP0006,2008,WNCP01,9.1 ,15.4 ,3.8 ,2246.2 ,749.2 ,138.6 ,1686.7 ,3207.9 ,small_spike,Cinnamon soils,loamy sand,14.4 ,20.3 ,155.0 ,7.5 ,225 ,150 ,150 ,6375 ,9045 
7,W-NCP,WNCP0007,2008,WNCP01,9.2 ,15.5 ,3.9 ,2298.9 ,781.9 ,139.8 ,1701.2 ,3252.3 ,small_spike,Cinnamon soils,loam,15.6 ,30.2 ,145.0 ,7.5 ,225 ,150 ,150 ,5522 ,7743 
8,W-NCP,WNCP0008,2008,WNCP01,9.1 ,15.4 ,3.8 ,2256.4 ,759.4 ,139.8 ,1682.3 ,3214.2 ,small_spike,Cinnamon soils,loamy sand,11.2 ,20.6 ,125.0 ,7.5 ,180 ,150 ,120 ,3921 ,6623 
9,W-NCP,WNCP0009,2008,WNCP01,9.1 ,15.4 ,3.8 ,2246.2 ,749.2 ,138.6 ,1686.7 ,3207.9 ,small_spike,Fluvo-aquic soils,loam,14.8 ,26.8 ,138.0 ,7.5 ,225 ,150 ,150 ,5901 ,8100 
10,W-NCP,WNCP0010,2008,WNCP01,9.0 ,15.3 ,3.7 ,2210.2 ,733.2 ,138.6 ,1667.1 ,3175.2 ,medium_spike,Fluvo-aquic soils,loam,8.5 ,12.4 ,89.0 ,7.5 ,180 ,150 ,120 ,4862 ,7242 
