Sort,Soil quality,Crop,Year,Province,n.site,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
6,high,early rice,2009,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,early_maturity,Paddy soils,,34.6 ,61.2 ,36.0 ,5.7 ,180 ,60 ,135 ,3873 ,6008 
7,low,early rice,2008,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,medium_maturity,Paddy soils,,24.7 ,15.3 ,47.0 ,4.9 ,135 ,60 ,135 ,3218 ,5543 
8,low,early rice,2008,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,medium_maturity,Paddy soils,,26.0 ,11.8 ,72.0 ,5.3 ,180 ,54 ,135 ,5120 ,7889 
9,high,early rice,2008,ERSC08,1,25.0 ,29.9 ,21.6 ,1927.3 ,1157.3 ,586.7 ,330.3 ,1098.5 ,medium_maturity,Paddy soils,,36.4 ,17.5 ,59.0 ,4.9 ,150 ,57 ,117 ,3420 ,6105 
10,high,early rice,2007,ERSC08,1,25.0 ,29.9 ,21.6 ,1927.3 ,1157.3 ,586.7 ,330.3 ,1098.5 ,early_maturity,Paddy soils,,41.4 ,24.2 ,100.0 ,5.1 ,150 ,60 ,120 ,2670 ,5925 
11,high,early rice,2009,ERSC08,1,24.9 ,30.3 ,21.1 ,1993.6 ,1193.6 ,405.7 ,420.2 ,1267.7 ,medium_maturity,Paddy soils,,38.0 ,25.4 ,68.0 ,5.3 ,150 ,60 ,120 ,3906 ,6444 
12,low,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,late_maturity,Paddy soils,,29.3 ,9.6 ,38.0 ,4.8 ,138 ,54 ,120 ,3218 ,6210 
13,low,early rice,2008,ERSC08,1,26.1 ,30.8 ,22.6 ,1958.2 ,1208.2 ,648.8 ,420.9 ,1233.0 ,medium_maturity,Paddy soils,,31.9 ,4.3 ,71.0 ,4.9 ,135 ,45 ,102 ,3975 ,7425 
14,low,early rice,2009,ERSC08,1,25.2 ,29.7 ,21.5 ,2065.4 ,1245.4 ,531.5 ,479.5 ,1378.0 ,medium_maturity,Paddy soils,,22.2 ,9.4 ,79.0 ,4.8 ,128 ,38 ,105 ,4508 ,6908 
15,high,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,medium_maturity,Paddy soils,,34.2 ,21.7 ,33.0 ,5.0 ,138 ,60 ,120 ,3300 ,5850 
16,high,early rice,2007,ERSC08,1,24.9 ,29.0 ,21.8 ,1893.5 ,1133.5 ,533.4 ,416.9 ,1232.6 ,late_maturity,Paddy soils,,42.5 ,26.1 ,261.0 ,5.0 ,138 ,90 ,135 ,2783 ,6270 
17,low,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,late_maturity,Paddy soils,,19.3 ,9.5 ,35.0 ,4.6 ,138 ,45 ,123 ,3750 ,5250 
18,low,early rice,2008,ERSC08,1,26.1 ,30.8 ,22.6 ,1958.2 ,1208.2 ,648.8 ,420.9 ,1233.0 ,late_maturity,Paddy soils,,32.0 ,7.1 ,81.0 ,4.7 ,120 ,45 ,96 ,2970 ,6668 
19,low,early rice,2007,ERSC08,1,26.1 ,30.8 ,22.7 ,2010.2 ,1240.2 ,357.1 ,428.8 ,1259.7 ,medium_maturity,Paddy soils,,29.8 ,15.4 ,93.0 ,6.0 ,135 ,63 ,113 ,4050 ,6675 
20,low,early rice,2009,ERSC08,1,25.9 ,30.6 ,22.3 ,2073.4 ,1273.4 ,398.7 ,461.5 ,1335.6 ,medium_maturity,Paddy soils,,33.1 ,9.0 ,89.0 ,4.8 ,134 ,60 ,99 ,5475 ,7800 
21,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,39.8 ,23.8 ,102.0 ,4.6 ,138 ,54 ,135 ,4385 ,6500 
22,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.7 ,16.5 ,120.0 ,5.3 ,138 ,54 ,135 ,5582 ,8025 
23,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,54 ,135 ,4463 ,6545 
24,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,54 ,135 ,5118 ,7685 
25,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,138 ,54 ,135 ,4601 ,6645 
26,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,138 ,54 ,135 ,4761 ,7304 
27,high,early rice,2009,ERSC08,1,26.4 ,31.0 ,22.7 ,2426.5 ,1506.5 ,466.7 ,575.9 ,1597.7 ,medium_maturity,Paddy soils,,48.7 ,16.5 ,121.0 ,5.3 ,145 ,74 ,113 ,4532 ,7337 
28,high,early rice,2009,ERSC08,1,26.8 ,31.4 ,23.1 ,2305.7 ,1445.7 ,421.3 ,534.5 ,1489.7 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,72 ,135 ,4518 ,7385 
29,high,early rice,2009,ERSC08,1,26.6 ,31.1 ,22.9 ,2310.8 ,1440.8 ,422.5 ,540.9 ,1506.7 ,late_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,152 ,77 ,117 ,4761 ,7454 
30,low,early rice,2008,ERSC08,1,25.6 ,30.2 ,22.1 ,1943.8 ,1183.8 ,565.6 ,421.8 ,1242.4 ,medium_maturity,Paddy soils,,23.9 ,14.3 ,75.0 ,5.2 ,138 ,66 ,105 ,4290 ,6405 
31,low,early rice,2008,ERSC08,1,25.6 ,30.2 ,22.1 ,1943.8 ,1183.8 ,565.6 ,421.8 ,1242.4 ,medium_maturity,Paddy soils,,24.5 ,10.5 ,92.0 ,5.0 ,138 ,66 ,105 ,3645 ,6750 
32,high,early rice,2008,ERSC08,1,25.8 ,30.7 ,22.2 ,1832.5 ,1122.5 ,353.3 ,345.9 ,1081.0 ,medium_maturity,Paddy soils,,36.5 ,32.0 ,135.0 ,5.0 ,138 ,66 ,105 ,2730 ,6000 
33,low,early rice,2008,ERSC08,1,25.2 ,30.3 ,21.3 ,2194.9 ,1324.9 ,729.4 ,554.8 ,1534.5 ,medium_maturity,Paddy soils,,31.7 ,11.6 ,92.0 ,4.9 ,139 ,64 ,100 ,3569 ,6437 
34,high,early rice,2009,ERSC08,1,26.4 ,31.5 ,22.5 ,2406.3 ,1496.3 ,531.7 ,560.9 ,1575.8 ,medium_maturity,Paddy soils,,38.4 ,33.3 ,42.0 ,5.2 ,152 ,78 ,130 ,4967 ,6801 
35,low,early rice,2009,ERSC08,1,25.3 ,31.4 ,20.7 ,2024.0 ,1224.0 ,476.8 ,483.6 ,1371.6 ,medium_maturity,Paddy soils,,29.1 ,6.5 ,35.0 ,4.9 ,180 ,69 ,137 ,4125 ,7619 
36,low,early rice,2009,ERSC08,1,25.3 ,31.4 ,20.7 ,2024.0 ,1224.0 ,476.8 ,483.6 ,1371.6 ,medium_maturity,Paddy soils,,31.9 ,13.6 ,79.0 ,4.8 ,255 ,141 ,225 ,3870 ,6105 
37,high,early rice,2010,ERSC08,1,23.5 ,28.3 ,20.4 ,1718.8 ,988.8 ,1125.1 ,300.4 ,1024.0 ,medium_maturity,Paddy soils,,46.8 ,32.1 ,290.0 ,5.2 ,117 ,59 ,77 ,5630 ,9450 
38,low,early rice,2009,ERSC08,1,25.4 ,31.5 ,20.9 ,2035.1 ,1235.1 ,476.8 ,486.5 ,1376.6 ,early_maturity,Paddy soils,,30.1 ,12.7 ,95.0 ,5.2 ,141 ,72 ,95 ,3402 ,5762 
39,high,early rice,2009,ERSC08,1,25.2 ,31.2 ,20.5 ,2012.8 ,1212.8 ,405.4 ,496.4 ,1391.0 ,medium_maturity,Paddy soils,,36.2 ,21.2 ,120.0 ,5.1 ,278 ,49 ,180 ,3900 ,6675 
41,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,3090 ,5040 
42,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,30.1 ,6.9 ,75.0 ,4.9 ,270 ,150 ,240 ,5280 ,6135 
43,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.2 ,8.4 ,73.0 ,6.1 ,270 ,150 ,240 ,3555 ,6375 
44,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,2985 ,5745 
45,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,3870 ,6105 
46,low,early rice,2007,ERSC08,1,26.6 ,32.2 ,22.6 ,1994.4 ,1244.4 ,455.1 ,416.1 ,1226.0 ,medium_maturity,Paddy soils,,26.3 ,12.6 ,57.0 ,6.6 ,240 ,135 ,228 ,2880 ,4680 
47,low,early rice,2007,ERSC08,1,26.6 ,32.2 ,22.6 ,1994.4 ,1244.4 ,455.1 ,416.1 ,1226.0 ,medium_maturity,Paddy soils,,33.1 ,7.3 ,66.0 ,5.3 ,255 ,141 ,228 ,3690 ,4935 
48,high,early rice,2008,ERSC08,1,26.1 ,31.4 ,22.2 ,1931.6 ,1191.6 ,553.1 ,434.1 ,1249.0 ,medium_maturity,Paddy soils,,35.2 ,17.3 ,78.0 ,5.2 ,255 ,141 ,225 ,3570 ,6915 
