Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,ER-SC,ERSC0001,2007,ERSC02,late_maturity,25.354,28.548,23.176,2535.4,1535.4,437.1,598.4,1702.16,Paddy soils,,21.1,10.1,159,6.9,150,30,105,5133,7423
2,ER-SC,ERSC0002,2007,ERSC03,late_maturity,24.87333333,29.54,21.52190476,2611.7,1561.7,988.7,327.1,1275.34,Paddy soils,,18.3,29.1,41.5,5.65,150,45,120,4089,5385
3,ER-SC,ERSC0003,2008,ERSC03,late_maturity,23.528,28.277,19.755,2352.8,1352.8,336,499.3,1527.92,Paddy soils,,35,34,200,5.6,112.5,45,120,5500,7950
4,ER-SC,ERSC0004,2005,ERSC01,medium_maturity,25.79459459,30.80540541,21.72702703,1908.8,1168.8,272.3,489.9,1336.34,Paddy soils,,24.0 ,11.0 ,88.0 ,7.8 ,180 ,45 ,60 ,3351 ,6328 
5,ER-SC,ERSC0005,2008,ERSC01,medium_maturity,26.38873239,31.02957746,22.92957746,1873.6,1163.6,269.9,353.4,1093.49,Paddy soils,,26.0 ,3.6 ,67.0 ,5.3 ,165 ,60 ,105 ,3702 ,6686 
6,ER-SC,ERSC0006,2009,ERSC01,medium_maturity,26.77361111,32.15694444,22.67083333,1927.7,1207.7,494.1,426.9,1220.6,Paddy soils,,24.2 ,9.3 ,83.0 ,5.8 ,180 ,60 ,90 ,4677 ,7704 
7,ER-SC,ERSC0007,2005,ERSC01,medium_maturity,26.94794521,31.80410959,22.9890411,1967.2,1237.2,322,471.6,1299.97,Paddy soils,,20.7 ,7.5 ,58.0 ,7.8 ,180 ,45 ,60 ,3051 ,5750 
8,ER-SC,ERSC0008,2008,ERSC01,medium_maturity,25.98157895,30.78815789,22.31447368,1974.6,1214.6,277.6,394.2,1195.98,Paddy soils,,39.5 ,4.9 ,75.0 ,5.8 ,180 ,45 ,75 ,4491 ,7524 
9,ER-SC,ERSC0009,2008,ERSC01,medium_maturity,26.04675325,30.84935065,22.37922078,2005.6,1235.6,277.6,405.7,1221.61,Paddy soils,,39.8 ,8.0 ,72.0 ,6.4 ,180 ,45 ,75 ,4252 ,6989 
10,ER-SC,ERSC0010,2008,ERSC02,late_maturity,25.74175824,31.71318681,21.53076923,2342.5,1432.5,520.7,494.1,1468.92,Paddy soils,,28.9,17,87,5.5,150,60,90,3315,3855
11,ER-SC,ERSC0011,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,35.4,75.5,54,5.2,150,60,90,4500,7110
12,ER-SC,ERSC0012,2007,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,35.8,10.5,57,5.2,150,60,90,3675,5415
13,ER-SC,ERSC0013,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,36.4,8.2,85,5.2,150,60,90,2865,4890
14,ER-SC,ERSC0014,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,33,24.3,104,5.1,150,60,90,4530,6795
15,ER-SC,ERSC0015,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,37.6,8.2,36,5.4,150,60,90,4590,7095
16,ER-SC,ERSC0016,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,42.6,34.1,77,5.3,150,60,90,5130,5550
17,ER-SC,ERSC0017,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,26,22.2,77,5.4,150,60,90,3780,5925
18,ER-SC,ERSC0018,2008,ERSC02,late_maturity,25.55204082,31.51734694,21.38979592,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,40.1,8.1,60,5.2,150,60,90,4047,8211
19,ER-SC,ERSC0019,2008,ERSC02,late_maturity,25.60873786,30.63009709,22.09805825,2637.7,1607.7,988.4,532.9,1616.91,Paddy soils,,19.7,26,54,5.4,165,66,99,5190,7620
20,ER-SC,ERSC0020,2008,ERSC02,late_maturity,25.60873786,30.63009709,22.09805825,2637.7,1607.7,988.4,532.9,1616.91,Paddy soils,,18.9,12,23,5.5,165,66,99,5100,7545
21,ER-SC,ERSC0021,2008,ERSC02,late_maturity,25.65294118,30.7127451,22.12058824,2616.6,1596.6,967.3,532.9,1610.05,Paddy soils,,20.9,58,27,5.2,165,66,99,5955,7650
22,ER-SC,ERSC0022,2008,ERSC02,late_maturity,25.55865385,30.57692308,22.03942308,2658.1,1618.1,988.6,532.9,1623.75,Paddy soils,,27.8,29,98,5.6,165,66,99,7125,9045
23,ER-SC,ERSC0023,2006,ERSC02,late_maturity,24.58877551,28.42857143,21.75918367,2409.7,1429.7,1407.2,360.6,1291.8,Paddy soils,,27.3,36.8,34,5.3,150,60,105,4190,7090.5
24,ER-SC,ERSC0024,2006,ERSC02,late_maturity,24.61515152,28.43131313,21.77272727,2436.9,1446.9,1483.9,360.6,1298.98,Paddy soils,,17.9,55.8,43,5.9,150,60,105,5903.5,8379.5
25,ER-SC,ERSC0025,2006,ERSC02,late_maturity,24.38762887,28.24226804,21.55463918,2365.6,1395.6,1223.9,361.9,1285.5,Paddy soils,,17.5,64,45,5.2,150,60,105,5760,8353
26,ER-SC,ERSC0026,2006,ERSC02,late_maturity,24.80918367,28.6,21.97346939,2431.3,1451.3,1470.5,362.9,1298.11,Paddy soils,,19.7,70.3,48,5.9,150,60,105,5293.5,8010
